OMAZ,DMAZ,distance_commute,logsum_commute,path_size_sum_commute,iterations_commute,time_commute
1.0,1.0,0.060043913087261,-0.0600439129623698,0.0,0.0,0.0001949477697638
1.0,2.0,0.4090430759222306,-4.477928506414226,1.5082010319924133,5.0,0.0013280619348124
1.0,3.0,0.1910109749576618,-2.659550956916978,1.0000000000000002,5.0,0.0006201655031092
1.0,4.0,0.4028285525354886,-4.478796168329686,1.516143468284616,5.0,0.0013078849108295
1.0,5.0,0.3209359970629209,-4.187079922650659,1.0000000000000002,5.0,0.001041999990464
1.0,6.0,0.4808312012101479,-5.341564789935992,1.0,5.0,0.0015611402636693
1.0,7.0,0.183190854271051,-2.234956208400517,1.0,5.0,0.00059477550088
1.0,8.0,0.2072680315651002,-2.7389973951194007,1.0,5.0,0.0006729481544321
1.0,9.0,0.1833094570804365,-2.234956208400517,1.0,5.0,0.0005951605749364
1.0,10.0,0.1986339695073402,-2.7389973951194007,1.0,5.0,0.0006449154854134
1.0,11.0,0.4297194296415433,-5.104836275932322,1.0000000000000002,5.0,0.0013951929533816
1.0,12.0,0.1200878261745221,-2.233944726991516,1.0,5.0,0.0003898955395276
1.0,13.0,0.1359719515336202,-2.1000095070306566,1.0,5.0,0.0004414673751091
1.0,14.0,0.3089301365787565,-3.5886885239084023,1.0000000000000002,5.0,0.001003019923957
1.0,15.0,0.3318443667317187,-4.29375178810478,1.6382694958466584,5.0,0.0010774167751029
1.0,16.0,0.3049810821167163,-3.5886885239084023,1.0000000000000002,5.0,0.0009901983185607
1.0,17.0,0.4303731621503318,-5.104836275932322,1.0,5.0,0.001397315461527
1.0,18.0,0.1206526904507174,-2.233944726991516,1.0000000000000002,5.0,0.0003917295144503
1.0,19.0,0.2267604215225349,-5.134395581507564,1.0,5.0,0.0007362351348134
1.0,20.0,0.1728641030202416,-4.992630324114009,1.0000000000000002,5.0,0.000561247087728
1.0,21.0,0.5580460597276472,-7.091500574449833,1.79626245201763,5.0,0.0018118378562585
1.0,22.0,0.4613275883988532,-4.48113450697344,1.658011809599312,5.0,0.0014978168454508
1.0,23.0,0.561706231734052,-4.808271304059648,2.258451904108395,5.0,0.001823721531604
1.0,24.0,0.5959496238019744,-5.0043533693141935,2.2810795384008715,5.0,0.0019349013759804
1.0,25.0,0.5101774507877289,-4.763325988303949,1.7988118682390395,5.0,0.0016564202947653
1.0,26.0,0.5673272354773655,-4.576574790680151,2.0603114576565376,5.0,0.0018419715437576
1.0,27.0,0.2739330841988474,-5.332999130576951,1.0000000000000002,5.0,0.0008893931305157
1.0,28.0,0.3274248594391674,-3.3125478949633385,1.0,5.0,0.0010630677254518
1.0,29.0,0.3783381338346426,-4.383990671858786,1.547851399109495,5.0,0.0012283705643981
