maz,walk_dist_local_bus,walk_dist_premium_transit
1,0.06,0.526
2,0.0,0.61
3,0.106,0.572
4,0.049,0.655
5,0.0,0.587
6,0.112,0.699
7,0.079,0.666
8,0.152,0.746
9,0.14,0.737
10,0.189,0.784
11,0.091,0.699
12,0.163,0.771
13,0.115,0.723
14,0.163,0.771
15,0.016,0.705
16,0.164,0.815
17,0.066,0.787
18,0.116,0.837
19,0.062,0.831
20,0.11,0.8
21,0.11,0.8
22,0.126,0.436
23,0.049,0.272
24,0.502,0.971
25,0.139,0.799
26,0.148,1.041
27,0.152,0.821
28,0.068,0.902
29,0.243,1.108
30,0.292,1.186
31,0.1,0.992
32,0.139,0.799
33,0.098,0.875
34,0.048,0.883
35,0.195,1.059
36,0.195,1.059
37,0.148,0.944
38,0.107,0.89
39,0.129,0.771
40,0.115,0.853
41,0.051,0.834
42,0.046,0.829
43,0.176,0.722
44,0.061,0.754
45,0.046,0.829
46,0.144,0.672
47,0.098,0.705
48,0.109,0.575
49,0.098,0.705
50,0.098,0.705
51,0.109,0.575
52,0.049,0.659
53,0.071,0.681
54,0.0,0.625
55,0.0,0.722
56,0.0,0.785
57,0.048,0.673
58,0.049,0.766
59,0.049,0.862
60,0.093,0.716
61,0.097,0.812
62,0.097,0.905
63,0.097,0.746
64,0.145,0.843
65,0.146,0.936
66,0.121,0.77
67,0.194,0.887
68,0.146,0.98
69,0.163,0.812
70,0.189,0.931
71,0.097,1.024
72,0.241,0.877
73,0.095,0.731
74,0.19,0.826
75,0.332,0.968
76,0.098,0.694
77,0.195,0.791
78,0.294,0.932
79,0.098,0.694
80,0.195,0.742
81,0.245,0.884
82,0.098,0.645
83,0.195,0.835
84,0.145,0.601
85,0.147,0.698
86,0.147,0.791
87,0.098,0.553
88,0.098,0.649
89,0.097,0.742
90,0.0,0.625
91,0.0,0.722
92,0.0,0.785
93,0.545,1.195
94,0.431,1.067
95,0.392,1.126
96,0.388,1.031
97,0.392,1.126
98,0.339,0.983
99,0.343,1.078
100,0.29,0.935
101,0.294,1.03
102,0.241,0.89
103,0.246,0.985
104,0.192,0.841
105,0.197,0.936
106,0.063,0.881
107,0.099,1.009
108,0.362,1.171
109,0.284,1.12
110,0.244,1.08
111,0.196,1.128
112,0.196,1.128
113,0.196,1.035
114,0.147,1.084
115,0.129,1.116
116,0.147,0.986
117,0.098,1.035
118,0.05,1.129
119,0.051,1.057
120,0.049,1.082
121,0.05,1.129
122,0.214,1.164
123,0.063,0.881
124,0.099,1.009
125,0.051,1.057
126,0.0,1.108
127,0.0,1.158
128,0.191,1.005
129,0.212,999999.0
130,0.146,1.055
131,0.096,1.105
132,0.048,1.153
133,0.049,1.201
134,0.107,999999.0
135,0.191,1.005
136,0.195,1.1
137,0.171,1.176
138,0.242,1.036
139,0.244,1.131
140,0.171,1.176
141,0.197,1.091
142,0.292,1.174
143,0.193,999999.0
144,0.197,1.091
145,0.292,1.157
146,0.244,1.234
147,0.244,1.234
148,0.141,0.722
149,0.047,0.692
150,0.057,0.75
151,0.0,0.645
152,0.051,0.703
153,0.233,0.627
154,0.041,0.676
155,0.053,0.592
156,0.0,0.652
157,0.0,0.652
158,0.266,0.644
159,0.152,0.564
160,0.057,0.597
161,0.242,0.654
162,0.276,0.688
163,0.057,0.435
164,0.0,0.469
165,0.0,0.378
166,0.091,0.379
167,0.086,0.374
168,0.09,0.378
169,0.048,0.147
170,0.049,0.147
171,0.048,0.071
172,0.049,0.515
173,0.0,0.417
174,0.0,0.37
175,0.0,0.322
176,0.0,0.275
177,0.044,0.228
178,0.059,0.654
179,0.0,0.538
180,0.048,0.49
181,0.092,0.446
182,0.141,0.419
183,0.188,0.372
184,0.12,0.304
185,0.216,0.171
186,0.188,0.372
187,0.141,0.419
188,0.092,0.468
189,0.047,0.513
190,0.0,0.56
191,0.039,0.647
192,0.254,0.467
193,0.193,0.579
194,0.161,0.56
195,0.113,0.608
196,0.065,0.656
197,0.0,0.721
198,0.271,0.226
199,0.301,0.42
200,0.285,0.487
201,0.239,0.533
202,0.193,0.579
203,0.145,0.627
204,0.1,0.672
205,0.05,0.722
206,0.0,0.807
207,0.098,0.532
208,0.0,0.674
209,0.038,0.687
210,0.134,0.622
211,0.0,0.674
212,0.038,0.687
213,0.175,0.663
214,0.087,0.736
215,0.041,0.715
216,0.23,0.578
217,0.265,0.667
218,0.169,0.754
219,0.135,0.784
220,0.098,0.758
221,0.125,0.794
222,0.169,0.754
223,0.218,0.706
224,0.265,0.667
225,0.313,0.624
226,0.1,0.658
227,0.0,0.664
228,0.045,0.619
229,0.093,0.572
230,0.141,0.524
231,0.188,0.478
232,0.05,0.516
233,0.0,0.539
234,0.0,0.37
235,0.092,0.447
236,0.126,0.4
237,0.044,0.228
238,0.234,0.435
239,0.0,0.119
240,0.406,0.617
241,0.214,0.426
242,0.0,0.64
243,0.045,0.681
244,0.142,0.551
245,0.049,0.644
246,0.093,0.503
247,0.0,0.596
248,0.093,0.454
249,0.0,0.547
250,0.187,0.236
251,0.266,0.34
252,0.141,0.41
253,0.048,0.503
254,0.212,0.31
255,0.142,0.407
256,0.097,0.455
257,0.049,0.0
258,0.093,0.142
259,0.212,0.31
260,0.096,0.434
261,0.049,0.5
262,0.0,0.174
263,0.096,0.434
264,0.0,0.53
265,0.251,0.348
266,0.192,0.364
267,0.124,0.298
268,0.216,0.39
269,0.093,0.483
270,0.0,0.576
271,0.167,999999.0
272,0.065,999999.0
273,0.048,999999.0
274,0.098,999999.0
275,0.077,999999.0
276,0.147,999999.0
277,0.149,999999.0
278,0.19,999999.0
279,0.05,999999.0
280,0.098,999999.0
281,0.142,999999.0
282,0.116,999999.0
283,0.091,999999.0
284,0.14,999999.0
285,0.049,999999.0
286,0.049,999999.0
287,0.0,999999.0
288,0.055,999999.0
289,0.091,999999.0
290,0.123,999999.0
291,0.048,1.13
292,0.0,1.083
293,0.097,1.179
294,0.049,1.132
295,0.147,1.229
296,0.1,1.183
297,0.169,999999.0
298,0.19,999999.0
299,0.213,999999.0
300,0.121,0.877
301,0.268,0.696
302,0.268,0.696
303,0.314,0.65
304,0.192,0.714
305,0.046,0.662
306,0.094,0.616
307,0.135,0.482
308,0.373,0.801
309,0.22,1.016
310,0.249,0.679
311,0.049,999999.0
312,0.027,999999.0
313,0.153,999999.0
314,0.027,999999.0
315,0.208,1.25
316,0.214,1.122
317,0.153,999999.0
318,0.176,999999.0
319,0.221,1.24
320,0.259,1.199
321,0.214,1.122
322,0.119,1.029
323,0.19,1.052
324,0.149,999999.0
325,0.225,999999.0
326,0.279,1.158
327,0.271,1.114
328,0.0,1.149
329,0.107,1.198
330,0.052,1.097
331,0.1,1.049
332,0.166,1.021
333,0.35,1.12
334,0.172,0.976
335,0.147,0.866
336,0.145,0.761
337,0.093,0.709
338,0.063,0.724
339,0.0,0.664
340,0.596,0.892
341,0.5,0.937
342,0.591,0.846
343,0.453,0.929
344,0.5,0.8
345,0.41,0.886
346,0.498,0.758
347,0.5,0.8
348,0.448,0.698
349,0.363,0.944
350,0.396,0.646
351,0.363,0.944
352,0.448,0.698
353,0.446,0.961
354,0.43,0.774
355,0.405,0.986
356,0.359,0.792
357,0.359,0.792
358,0.341,0.84
359,0.248,0.711
360,0.311,0.966
361,0.2,0.663
362,0.156,0.712
363,0.311,0.966
364,0.107,0.761
365,0.167,999999.0
366,0.341,1.097
367,0.167,999999.0
368,0.266,1.172
369,0.341,1.097
370,0.413,1.025
371,0.12,999999.0
372,0.366,1.016
373,0.22,1.162
374,0.251,1.045
375,0.323,0.973
376,0.073,1.223
377,0.173,1.123
378,0.245,1.011
379,0.074,1.182
380,0.111,1.19
381,0.308,1.075
382,0.17,1.131
383,0.274,1.041
384,0.171,1.241
385,0.356,1.041
386,0.119,999999.0
387,0.149,1.23
388,0.219,1.193
389,0.262,1.143
390,0.311,1.092
391,0.356,1.041
392,0.311,0.996
393,0.198,1.181
394,0.198,1.131
395,0.198,1.08
396,0.244,1.029
397,0.198,0.983
398,0.149,1.133
399,0.149,1.084
400,0.149,1.032
401,0.147,1.031
402,0.149,0.935
403,0.146,1.178
404,0.1,1.13
405,0.1,1.078
406,0.099,0.984
407,0.049,999999.0
408,0.0,1.23
409,0.05,1.128
410,0.098,1.08
411,0.051,1.032
412,0.319,1.161
413,0.071,999999.0
414,0.171,999999.0
415,0.24,1.233
416,0.118,999999.0
417,0.217,999999.0
418,0.24,1.233
419,0.319,999999.0
420,0.218,999999.0
421,0.366,1.241
422,0.146,999999.0
423,0.146,999999.0
424,0.37,1.196
425,0.046,999999.0
426,0.324,1.151
427,0.167,999999.0
428,0.341,1.097
429,0.045,0.608
430,0.02,999999.0
431,0.052,0.752
432,0.085,0.648
433,0.106,0.584
434,0.368,0.965
435,0.122,0.41
436,0.406,1.076
437,0.406,1.076
438,0.501,1.171
439,0.451,1.123
440,0.545,1.155
441,0.407,1.168
442,0.545,1.063
443,0.499,1.109
444,0.612,1.069
445,0.661,1.02
446,0.682,0.917
447,0.681,0.912
448,0.63,0.861
449,0.525,0.756
450,0.544,0.762
451,0.425,0.656
452,0.544,0.762
453,0.288,1.185
454,0.454,1.153
455,0.549,1.017
456,0.459,1.107
457,0.549,1.017
458,0.549,1.017
459,0.412,1.063
460,0.55,0.939
461,0.623,0.854
462,0.647,0.961
463,0.53,0.761
464,0.525,0.756
465,0.596,0.892
466,0.467,0.698
467,0.38,0.611
468,0.406,0.617
469,0.506,0.982
470,0.596,0.892
471,0.612,0.862
472,0.566,0.816
473,0.438,0.688
474,0.378,0.628
475,0.323,0.554
476,0.295,0.506
477,0.323,0.573
478,0.38,0.611
479,0.273,0.523
480,0.45,0.7
481,0.144,0.394
482,0.323,0.573
483,0.378,0.628
484,0.192,0.439
485,0.193,0.443
486,0.089,0.339
487,0.209,0.459
488,0.38,0.724
489,0.0,0.25
490,0.289,0.539
491,0.263,0.52
492,0.02,0.313
493,0.209,0.459
494,0.25,0.533
495,0.157,0.49
496,0.214,0.547
497,0.248,0.711
498,0.05,0.383
499,0.105,0.438
500,0.209,0.542
501,0.211,0.555
502,0.209,0.542
503,0.161,0.627
504,0.156,0.712
505,0.122,0.739
506,0.247,999999.0
507,0.116,999999.0
508,0.259,999999.0
509,0.135,999999.0
510,0.185,999999.0
511,0.233,999999.0
512,0.282,999999.0
513,0.328,999999.0
514,0.287,999999.0
515,0.157,999999.0
516,0.168,999999.0
517,0.042,999999.0
518,0.103,999999.0
519,0.136,999999.0
520,0.172,999999.0
521,0.093,999999.0
522,0.139,999999.0
523,0.311,999999.0
524,0.313,999999.0
525,0.268,999999.0
526,0.182,999999.0
527,0.145,999999.0
528,0.05,999999.0
529,0.098,999999.0
530,0.097,999999.0
531,0.145,999999.0
532,0.16,999999.0
533,0.099,999999.0
534,0.147,999999.0
535,0.146,999999.0
536,0.096,999999.0
537,0.148,999999.0
538,0.192,999999.0
539,0.048,999999.0
540,0.125,999999.0
541,0.242,999999.0
542,0.068,999999.0
543,0.068,999999.0
544,0.0,999999.0
545,0.076,999999.0
546,0.244,999999.0
547,0.049,999999.0
548,0.0,999999.0
549,0.099,999999.0
550,0.18,999999.0
551,0.202,999999.0
552,0.168,999999.0
553,0.118,999999.0
554,0.207,999999.0
555,0.1,999999.0
556,0.086,999999.0
557,0.098,999999.0
558,0.162,999999.0
559,0.193,999999.0
560,0.146,999999.0
561,0.095,999999.0
562,0.049,999999.0
563,0.101,999999.0
564,0.149,1.23
565,0.098,999999.0
566,0.149,999999.0
567,0.147,999999.0
568,0.098,999999.0
569,0.046,999999.0
570,0.0,999999.0
571,0.052,1.23
572,0.1,1.182
573,0.08,999999.0
574,0.1,999999.0
575,0.1,999999.0
576,0.146,999999.0
577,0.094,999999.0
578,0.048,999999.0
579,0.1,999999.0
580,0.148,1.227
581,0.112,999999.0
582,0.05,999999.0
583,0.051,999999.0
584,0.098,999999.0
585,0.095,999999.0
586,0.05,999999.0
587,0.0,999999.0
588,0.049,999999.0
589,0.0,999999.0
590,0.048,999999.0
591,0.062,999999.0
592,0.046,999999.0
593,0.0,999999.0
594,0.05,999999.0
595,0.05,999999.0
596,0.0,999999.0
597,0.099,999999.0
598,0.142,999999.0
599,0.099,999999.0
600,0.149,999999.0
601,0.148,999999.0
602,0.148,999999.0
603,0.178,999999.0
604,0.147,999999.0
605,0.197,999999.0
606,0.197,999999.0
607,0.197,999999.0
608,0.211,999999.0
609,0.196,999999.0
610,0.245,999999.0
611,0.245,999999.0
612,0.245,999999.0
613,0.22,999999.0
614,0.22,999999.0
615,0.292,999999.0
616,0.1,999999.0
617,0.219,999999.0
618,0.265,999999.0
619,0.265,999999.0
620,0.196,999999.0
621,0.151,999999.0
622,0.197,999999.0
623,0.246,999999.0
624,0.196,999999.0
625,0.15,999999.0
626,0.1,999999.0
627,0.252,999999.0
628,0.299,999999.0
629,0.345,999999.0
630,0.331,999999.0
631,0.217,999999.0
632,0.167,999999.0
633,0.266,999999.0
634,0.255,999999.0
635,0.124,999999.0
636,0.373,999999.0
637,0.25,999999.0
638,0.194,999999.0
639,0.108,999999.0
640,0.198,999999.0
641,0.09,999999.0
642,0.042,999999.0
643,0.172,999999.0
644,0.025,999999.0
645,0.309,999999.0
646,0.309,999999.0
