PUMA,TRACT,BG,BLOCK,household_id,wgtp,SERIALNO,industry,occupation,AGEP,SEX,WKHP,ESR,SCHG,WKW,MIL,SCHL,per_num,GQFLAG,person_id
703,41039003700,4.10E+11,4.10E+14,405835,86,2018HU0667663,1,1,20,1,40,1,-8,1,4,11,1,0,40583501
703,41039003700,4.10E+11,4.10E+14,405835,86,2018HU0667663,1,1,19,2,44,1,-8,1,4,10,2,0,40583502
703,41039003700,4.10E+11,4.10E+14,405836,86,2018HU0667663,1,1,20,1,40,1,-8,1,4,11,1,0,40583601
703,41039003700,4.10E+11,4.10E+14,405836,86,2018HU0667663,1,1,19,2,44,1,-8,1,4,10,2,0,40583602
703,41039003700,4.10E+11,4.10E+14,405837,32,2018HU0746189,0,0,20,1,40,6,6,6,4,10,1,0,40583701
703,41039003700,4.10E+11,4.10E+14,405838,17,2018HU0833087,1,1,32,2,40,1,-8,1,4,13,1,0,40583801
703,41039003700,4.10E+11,4.10E+14,405838,17,2018HU0833087,1,1,35,1,30,1,-8,3,4,13,2,0,40583802
703,41039003700,4.10E+11,4.10E+14,405839,17,2018HU0867777,0,0,20,2,30,3,6,5,4,11,1,0,40583901
703,41039003700,4.10E+11,4.10E+14,405839,17,2018HU0867777,0,0,20,2,30,3,6,5,4,11,2,0,40583902
703,41039003700,4.10E+11,4.10E+14,405839,17,2018HU0867777,0,0,20,2,20,3,6,5,4,11,3,0,40583903
703,41039003700,4.10E+11,4.10E+14,405839,17,2018HU0867777,0,0,18,2,-8,3,5,-8,4,9,4,0,40583904
703,41039003700,4.10E+11,4.10E+14,405840,9,2018HU0868655,0,0,38,2,-8,6,-8,-8,4,14,1,0,40584001
703,41039003700,4.10E+11,4.10E+14,405840,9,2018HU0868655,1,1,37,1,80,1,-8,1,4,13,2,0,40584002
703,41039003700,4.10E+11,4.10E+14,405840,9,2018HU0868655,1,1,7,2,-8,-8,2,-8,-8,2,3,0,40584003
703,41039003700,4.10E+11,4.10E+14,405840,9,2018HU0868655,1,1,5,2,-8,-8,1,-8,-8,2,4,0,40584004
703,41039003700,4.10E+11,4.10E+14,405840,9,2018HU0868655,1,1,4,2,-8,-8,1,-8,-8,1,5,0,40584005
703,41039003700,4.10E+11,4.10E+14,405841,19,2018HU0885401,1,1,22,2,40,1,-8,1,4,11,1,0,40584101
703,41039003700,4.10E+11,4.10E+14,405841,19,2018HU0885401,1,1,22,1,45,1,-8,1,4,9,2,0,40584102
703,41039003700,4.10E+11,4.10E+14,405842,25,2018HU0904142,0,0,23,1,20,6,6,6,4,11,1,0,40584201
703,41039003700,4.10E+11,4.10E+14,405842,25,2018HU0904142,0,0,22,1,4,6,6,6,4,11,2,0,40584202
703,41039003700,4.10E+11,4.10E+14,405843,96,2018HU0924922,1,1,24,2,28,1,-8,1,4,11,1,0,40584301
703,41039003700,4.10E+11,4.10E+14,405843,96,2018HU0924922,1,1,26,1,30,1,-8,1,4,9,2,0,40584302
703,41039003700,4.10E+11,4.10E+14,405844,96,2018HU0924922,1,1,24,2,28,1,-8,1,4,11,1,0,40584401
703,41039003700,4.10E+11,4.10E+14,405844,96,2018HU0924922,1,1,26,1,30,1,-8,1,4,9,2,0,40584402
703,41039003700,4.10E+11,4.10E+14,405845,96,2018HU0924922,1,1,24,2,28,1,-8,1,4,11,1,0,40584501
703,41039003700,4.10E+11,4.10E+14,405845,96,2018HU0924922,1,1,26,1,30,1,-8,1,4,9,2,0,40584502
703,41039003700,4.10E+11,4.10E+14,405846,31,2018HU0957873,0,0,20,1,-8,3,6,-8,4,11,1,0,40584601
703,41039003700,4.10E+11,4.10E+14,405846,31,2018HU0957873,0,0,21,1,-8,6,6,-8,4,11,2,0,40584602
703,41039003700,4.10E+11,4.10E+14,405847,31,2018HU0957873,0,0,20,1,-8,3,6,-8,4,11,1,0,40584701
703,41039003700,4.10E+11,4.10E+14,405847,31,2018HU0957873,0,0,21,1,-8,6,6,-8,4,11,2,0,40584702
703,41039003700,4.10E+11,4.10E+14,405848,31,2018HU0957873,0,0,20,1,-8,3,6,-8,4,11,1,0,40584801
703,41039003700,4.10E+11,4.10E+14,405848,31,2018HU0957873,0,0,21,1,-8,6,6,-8,4,11,2,0,40584802
703,41039003700,4.10E+11,4.10E+14,405849,18,2018HU1194910,1,1,35,2,35,1,-8,1,4,13,1,0,40584901
703,41039003700,4.10E+11,4.10E+14,405850,26,2018HU1235025,1,1,25,2,30,1,6,1,4,11,1,0,40585001
703,41039003700,4.10E+11,4.10E+14,405851,42,2018HU1257791,0,0,77,1,-8,6,-8,-8,4,16,1,0,40585101
703,41039003700,4.10E+11,4.10E+14,405851,42,2018HU1257791,0,0,37,1,-8,6,-8,-8,4,10,2,0,40585102
703,41039003700,4.10E+11,4.10E+14,405851,42,2018HU1257791,0,0,33,1,-8,6,-8,-8,4,6,3,0,40585103
703,41039003700,4.10E+11,4.10E+14,405852,41,2018HU1261109,0,0,20,2,-8,3,6,-8,4,11,1,0,40585201
703,41039003700,4.10E+11,4.10E+14,405853,41,2018HU1261109,0,0,20,2,-8,3,6,-8,4,11,1,0,40585301
