household_id,PUMA,TRACT,BG,BLOCK,WGTP,SERIALNO,NWESR,HHINCADJ,hhchild,NP,HINCP,TEN,BLD,ADJINC,VEH,HHT,NPF,HUPAC,GQTYPE,MAZ,TAZ
405812,703,41039003700,410390037001,410390037001000,103,2020HU0913504,1,40473.84970993,1,4,35500.0,3.0,8.0,1140108,1.0,7.0,-8.0,4.0,0,2148,435
405813,703,41039003700,410390037001,410390037001001,32,2018HU0094174,0,17765.5658587254,1,1,15000.0,3.0,7.0,1184371,1.0,6.0,-8.0,4.0,0,2152,435
405814,703,41039003700,410390037001,410390037001001,40,2018HU0100243,1,33162.3896029541,1,2,28000.0,3.0,8.0,1184371,0.0,5.0,-8.0,4.0,0,2152,435
405815,703,41039003700,410390037001,410390037001001,30,2018HU0133457,0,86459.0871791303,1,2,73000.0,1.0,2.0,1184371,2.0,3.0,2.0,4.0,0,2152,435
405816,703,41039003700,410390037001,410390037001001,18,2018HU0137539,1,2842.49053739606,1,2,2400.0,3.0,9.0,1184371,0.0,7.0,-8.0,4.0,0,2152,435
405817,703,41039003700,410390037001,410390037001001,32,2018HU0231555,1,72246.63449215,1,1,61000.0,3.0,2.0,1184371,0.0,4.0,-8.0,4.0,0,2152,435
405818,703,41039003700,410390037001,410390037001001,22,2018HU0251018,1,5921.8552862418,1,2,5000.0,3.0,8.0,1184371,2.0,7.0,-8.0,4.0,0,2152,435
405819,703,41039003700,410390037001,410390037001001,17,2018HU0304743,2,289460.286391499,2,5,244400.0,1.0,2.0,1184371,2.0,1.0,5.0,3.0,0,2152,435
405820,703,41039003700,410390037001,410390037001001,63,2018HU0313515,1,63363.8515627873,1,2,53500.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405821,703,41039003700,410390037001,410390037001001,63,2018HU0313515,1,63363.8515627873,1,2,53500.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405822,703,41039003700,410390037001,410390037001001,31,2018HU0333527,0,2368.74211449672,1,1,2000.0,3.0,9.0,1184371,3.0,6.0,-8.0,4.0,0,2152,435
405823,703,41039003700,410390037001,410390037001001,21,2018HU0350568,4,39321.1191006455,1,5,33200.0,3.0,9.0,1184371,2.0,7.0,-8.0,4.0,0,2152,435
405824,703,41039003700,410390037001,410390037001001,15,2018HU0455052,0,39084.2448891959,1,4,33000.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405825,703,41039003700,410390037001,410390037001001,18,2018HU0469663,0,5921.8552862418,1,1,5000.0,3.0,8.0,1184371,1.0,4.0,-8.0,4.0,0,2152,435
405826,703,41039003700,410390037001,410390037001001,18,2018HU0469663,0,5921.8552862418,1,1,5000.0,3.0,8.0,1184371,1.0,4.0,-8.0,4.0,0,2152,435
405827,703,41039003700,410390037001,410390037001001,18,2018HU0469663,0,5921.8552862418,1,1,5000.0,3.0,8.0,1184371,1.0,4.0,-8.0,4.0,0,2152,435
405828,703,41039003700,410390037001,410390037001001,30,2018HU0480363,1,14449.32689843,1,2,12200.0,3.0,8.0,1184371,2.0,5.0,-8.0,4.0,0,2152,435
405829,703,41039003700,410390037001,410390037001001,14,2018HU0585643,0,58744.8044395187,1,1,49600.0,2.0,2.0,1184371,1.0,6.0,-8.0,4.0,0,2152,435
405830,703,41039003700,410390037001,410390037001001,86,2018HU0667663,2,27240.5343167123,1,2,23000.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405831,703,41039003700,410390037001,410390037001001,86,2018HU0667663,2,27240.5343167123,1,2,23000.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405832,703,41039003700,410390037001,410390037001001,86,2018HU0667663,2,27240.5343167123,1,2,23000.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405833,703,41039003700,410390037001,410390037001001,86,2018HU0667663,2,27240.5343167123,1,2,23000.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405834,703,41039003700,410390037001,410390037001001,86,2018HU0667663,2,27240.5343167123,1,2,23000.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405835,703,41039003700,410390037001,410390037001001,86,2018HU0667663,2,27240.5343167123,1,2,23000.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405836,703,41039003700,410390037001,410390037001001,86,2018HU0667663,2,27240.5343167123,1,2,23000.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405837,703,41039003700,410390037001,410390037001001,32,2018HU0746189,0,7106.22634349016,1,1,6000.0,3.0,8.0,1184371,0.0,4.0,-8.0,4.0,0,2152,435
405838,703,41039003700,410390037001,410390037001001,17,2018HU0833087,2,84090.3450646336,1,2,71000.0,3.0,8.0,1184371,1.0,1.0,2.0,4.0,0,2152,435
405839,703,41039003700,410390037001,410390037001001,17,2018HU0867777,0,11488.3992553091,1,4,9700.0,3.0,9.0,1184371,3.0,7.0,-8.0,4.0,0,2152,435
405840,703,41039003700,410390037001,410390037001001,9,2018HU0868655,1,207264.935018463,2,5,175000.0,1.0,2.0,1184371,2.0,1.0,5.0,3.0,0,2152,435
405841,703,41039003700,410390037001,410390037001001,19,2018HU0885401,2,58034.1818051696,1,2,49000.0,3.0,8.0,1184371,2.0,1.0,2.0,4.0,0,2152,435
405842,703,41039003700,410390037001,410390037001001,25,2018HU0904142,0,6514.04081486598,1,2,5500.0,3.0,2.0,1184371,2.0,5.0,-8.0,4.0,0,2152,435
405843,703,41039003700,410390037001,410390037001001,96,2018HU0924922,2,30225.1493809781,1,2,25520.0,3.0,2.0,1184371,2.0,7.0,-8.0,4.0,0,2152,435
405844,703,41039003700,410390037001,410390037001001,96,2018HU0924922,2,30225.1493809781,1,2,25520.0,3.0,2.0,1184371,2.0,7.0,-8.0,4.0,0,2152,435
405845,703,41039003700,410390037001,410390037001001,96,2018HU0924922,2,30225.1493809781,1,2,25520.0,3.0,2.0,1184371,2.0,7.0,-8.0,4.0,0,2152,435
405846,703,41039003700,410390037001,410390037001001,31,2018HU0957873,0,23213.6727220679,1,2,19600.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405847,703,41039003700,410390037001,410390037001001,31,2018HU0957873,0,23213.6727220679,1,2,19600.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405848,703,41039003700,410390037001,410390037001001,31,2018HU0957873,0,23213.6727220679,1,2,19600.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405849,703,41039003700,410390037001,410390037001001,18,2018HU1194910,1,29609.276431209,1,1,25000.0,3.0,2.0,1184371,1.0,6.0,-8.0,4.0,0,2152,435
405850,703,41039003700,410390037001,410390037001001,26,2018HU1235025,1,27240.5343167123,1,1,23000.0,3.0,9.0,1184371,1.0,6.0,-8.0,4.0,0,2152,435
405851,703,41039003700,410390037001,410390037001001,42,2018HU1257791,0,165101.325380421,1,3,139400.0,1.0,2.0,1184371,6.0,5.0,-8.0,4.0,0,2152,435
405852,703,41039003700,410390037001,410390037001001,41,2018HU1261109,0,7106.22634349016,1,1,6000.0,3.0,9.0,1184371,1.0,6.0,-8.0,4.0,0,2152,435
405853,703,41039003700,410390037001,410390037001001,41,2018HU1261109,0,7106.22634349016,1,1,6000.0,3.0,9.0,1184371,1.0,6.0,-8.0,4.0,0,2152,435
405854,703,41039003700,410390037001,410390037001001,28,2018HU1300146,2,62179.4805055389,1,2,52500.0,3.0,2.0,1184371,2.0,7.0,-8.0,4.0,0,2152,435
405855,703,41039003700,410390037001,410390037001001,41,2018HU1361813,2,210818.048190208,1,2,178000.0,1.0,2.0,1184371,2.0,1.0,2.0,4.0,0,2152,435
405856,703,41039003700,410390037001,410390037001001,28,2018HU1397131,0,0.0,1,2,0.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405857,703,41039003700,410390037001,410390037001001,28,2018HU1397131,0,0.0,1,2,0.0,3.0,9.0,1184371,1.0,5.0,-8.0,4.0,0,2152,435
405858,703,41039003700,410390037001,410390037001001,17,2019HU0038727,0,25957.796668573,1,1,22380.0,3.0,9.0,1159866,0.0,4.0,-8.0,4.0,0,2152,435
405859,703,41039003700,410390037001,410390037001001,75,2019HU0040191,2,69939.9079139836,2,2,60300.0,1.0,2.0,1159866,3.0,2.0,2.0,2.0,0,2152,435
405860,703,41039003700,410390037001,410390037001001,18,2019HU0059039,2,81770.5391034137,1,2,70500.0,3.0,9.0,1159866,2.0,7.0,-8.0,4.0,0,2152,435
405861,703,41039003700,410390037001,410390037001001,58,2019HU0137882,0,0.0,1,2,0.0,3.0,4.0,1159866,1.0,5.0,-8.0,4.0,0,2152,435
405862,703,41039003700,410390037001,410390037001001,58,2019HU0137882,0,0.0,1,2,0.0,3.0,4.0,1159866,1.0,5.0,-8.0,4.0,0,2152,435
