,LINE,TSYSCODE
0,000MBeb,l
1,000MBwb,l
2,000MGib,l
3,000MGob,l
4,000MReb,l
5,000MRwb,l
6,000MYOnb,l
7,000MYOsb,l
8,000Wnb,r
9,000Wsb,r
10,001Viam,b
11,001Vopm,b
12,002FXDeb,a
13,002FXDwb,a
14,004Fib,b
15,004Fob,b
16,006Mib,b
17,006Mob,b
18,008JNnb,b
19,008JNsb,b
20,009Peb,b
21,009Pwb,b
22,010Heb,b
23,010Hwb,b
24,011Reb,b
25,011Rwb,b
26,012Bsb,b
27,012PTnb,b
28,012PTsb,b
29,014Heb,b
30,014Hwb,b
31,015BCeb,b
32,015BCwb,b
33,015BMeb,b
34,015BMwb,b
35,015BYeb,b
36,015BYwb,b
37,016FSib,b
38,016FSob,b
39,017HBnb,b
40,017HBsb,b
41,017Hnb,b
42,017Hsb,b
43,018HSlp,b
44,019WGnb,b
45,019WGsb,b
46,020BSeb,b
47,020BSwb,b
48,021PGeb,b
49,021PGwb,b
50,022PReb,b
51,022PRwb,b
52,023SReb,b
53,023SRwb,b
54,024FReb,b
55,024FRwb,b
56,025GTeb,b
57,025GTwb,b
58,026TNib,b
59,026TNob,b
60,029LWeb,b
61,029LWwb,b
62,030Eeb,b
63,030Ewb,b
64,031Wnb,b
65,031Wsb,b
66,032OFnb,b
67,032OFsb,b
68,033MKnb,b
69,033MKsb,b
70,034LRnb,b
71,034LRsb,b
72,035Mnb,b
73,035Msb,b
74,035MTnb,b
75,035MTsb,b
76,037LGeb,b
77,037LGwb,b
78,038BFnb,b
79,038BFsb,b
80,039AHnb,b
81,039AHsb,b
82,040RSnb,b
83,040RSsb,b
84,040TSnb,b
85,040TSsb,b
86,043TMib,b
87,043TMob,b
88,044CCnb,b
89,044CMnb,b
90,044CMsb,b
91,045GHib,b
92,045GHob,b
93,046NHeb,b
94,046NHwb,b
95,047HWeb,b
96,047HWwb,b
97,047OWeb,b
98,047OWwb,b
99,048Ceb,b
100,048Cwb,b
101,051VBib,b
102,051VBob,b
103,051VCib,b
104,051VCob,b
105,052FPnb,b
106,052FPsb,b
107,052FWnb,b
108,052FWsb,b
109,053AAam,b
110,053AApm,b
111,054BHib,b
112,054BHob,b
113,055Hib,b
114,055Hob,b
115,056SMib,b
116,056SMob,b
117,057FGeb,b
118,057FGwb,b
119,058Cib,b
120,058Cob,b
121,059Web,b
122,059Wwb,b
123,062Mnb,b
124,062Msb,b
125,063WPib,b
126,063WPob,b
127,067Bnb,b
128,067Bsb,b
129,070Tnb,b
130,070Tsb,b
131,071PCnb,b
132,071PCsb,b
133,072Knb,b
134,072Ksb,b
135,073FPnb,b
136,073FPsb,b
137,074Nnb,b
138,074Nsb,b
139,075CLnw,b
140,075CLse,b
141,076HMnb,b
142,076HMsb,b
143,076HOnb,b
144,076HOsb,b
145,076HTnb,b
146,076HTsb,b
147,077BReb,b
148,077BRwb,b
149,077BTeb,b
150,077BTwb,b
151,078BLeb,b
152,078BLwb,b
153,078TLeb,b
154,078TLwb,b
155,079COnb,b
156,079COsb,b
157,081Knb,b
158,081Ksb,b
159,082SGeb,b
160,082SGwb,b
161,084PVam,b
162,084PVpm,b
163,086Rnb,b
164,086Rsb,b
165,087AWeb,b
166,087AWwb,b
167,088Heb,b
168,088Hwb,b
169,094TSnb,b
170,094TSsb,b
171,096TCib,b
172,096TCob,b
173,096TMib,b
174,096TMob,b
175,097TSeb,b
176,097TSwb,b
177,152Meb,b
178,152Mwb,b
179,153Snb,b
180,153Ssb,b
181,155Seb,b
182,155Swb,b
183,156Meb,b
184,156Mwb,b
185,287Eeb,b
186,287Ewb,b
187,287Geb,b
188,288HWeb,b
189,288HWwb,b
190,288WReb,b
191,288WRwb,b
192,291Onb,b
193,291Osb,b
194,292Reb,b
195,292Rwb,b
196,293Ynb,b
197,293Ysb,b
198,C000V4Peb,a
199,C000V4Pwb,a
200,C000VMPeb,a
201,C000VMPwb,a
202,C002nb,b
203,C002sb,b
204,C006eb,b
205,C006wb,b
206,C007nb,b
207,C007sb,b
208,C009nb,b
209,C009sb,b
210,C019nb,b
211,C019sb,b
212,C025nb,b
213,C025sb,b
214,C030eb,b
215,C030wb,b
216,C031nb,b
217,C031sb,b
218,C032eb,b
219,C032wb,b
220,C034nb,b
221,C034sb,b
222,C041eb,b
223,C041FLwb,b
224,C041wb,b
225,C047nb,b
226,C047sb,b
227,C048nb,b
228,C048sb,b
229,C060nb,b
230,C060NJnb,b
231,C060NJsb,b
232,C060sb,b
233,C065nb,b
234,C065sb,b
235,C067nb,b
236,C067sb,b
237,C071nb,b
238,C071sb,b
239,C072eb,b
240,C072wb,b
241,C074eb,b
242,C074wb,b
243,C078eb,b
244,C078wb,b
245,C080nb,b
246,C080sb,b
247,C092eb,b
248,C092wb,b
249,C105Anb,b
