,NO,XCOORD,YCOORD,LINES
65,50396.0,7685453.196824857,737673.8844871711,"C072wb,C074eb,C074wb"
66,50398.0,7682215.046941032,737623.3168223359,"C074eb,C074wb"
67,50399.0,7686740.393612131,737586.4736879426,"C072wb,C074eb,C074wb"
68,50400.0,7682075.790605636,737575.836719264,"C074eb,C074wb"
69,50401.0,7673500.924199665,737527.2579498496,"C072eb,C072wb"
70,50402.0,7673593.888703895,737667.7821795915,"C072eb,C072wb"
71,50404.0,7689393.148144411,737531.3820901435,"C072wb,C074eb,C074wb"
72,50405.0,7681194.259456561,737288.2278184907,"C074eb,C074wb"
73,50411.0,7664752.122439759,736618.6744728277,"C078eb,C078wb"
74,50415.0,7679226.958218574,736651.9886254963,"C074eb,C074wb"
75,50422.0,7673393.61405188,736430.5751294357,"C072eb,C072wb"
76,50424.0,7677436.001456203,736336.488359693,"C007nb,C007sb,C047nb,C047sb"
77,50425.0,7677440.294604015,736576.9968491709,"C007nb,C007sb,C047nb,C047sb"
78,50426.0,7677994.788746823,736230.1820770014,"C074eb,C074wb"
79,50427.0,7677429.024047867,736044.646782745,"C007nb,C007sb,C047nb,C047sb,C074eb,C074wb"
80,50428.0,7676984.997426436,735896.8735377569,"C007nb,C007sb,C047nb,C047sb,C074eb,C074wb"
81,50430.0,7673363.5580069665,735564.981965986,"C072eb,C072wb"
82,50438.0,7675155.621160118,735252.2169437336,"C007nb,C007sb,C047nb,C047sb,C074eb,C074wb,C080nb,C080sb"
83,50441.0,7674581.37231297,734941.4648303051,"C007nb,C007sb,C047nb,C047sb,C074eb,C074wb,C080nb,C080sb"
84,50442.0,7674356.650269232,734821.0712733256,"C007nb,C007sb,C047nb,C047sb,C074eb,C074wb,C080nb,C080sb"
85,50449.0,7675697.429446656,734128.6981224687,"C080nb,C080sb"
86,50453.0,7673307.539186994,734169.6648842416,"C007nb,C007sb,C047nb,C047sb,C072eb,C072wb,C074eb,C074wb,C080nb,C080sb"
87,50463.0,7668313.4963202225,733024.8072689928,"C078eb,C078wb"
88,50464.0,7675429.266307087,732929.5511244686,"C080nb,C080sb"
89,50465.0,7670569.8959311545,732944.8283746425,"C007nb,C007sb,C047nb,C047sb,C072eb,C072wb,C074eb,C074wb,C080nb,C080sb"
90,50466.0,7671026.013936636,732890.4468590429,"C007nb,C007sb,C047nb,C047sb,C072eb,C072wb,C074eb,C074wb,C080nb,C080sb"
91,50467.0,7665377.288130933,732852.568454427,"C032eb,C032wb,C078eb,C078wb"
92,50468.0,7666666.599054625,732834.1939219001,"C032eb,C032wb,C078eb,C078wb"
93,50469.0,7671485.7077779835,732639.6074812387,"C007nb,C007sb,C047nb,C047sb,C072eb,C072wb,C074eb,C074wb,C080nb,C080sb"
94,50473.0,7675946.445734491,732412.6386858454,"C080nb,C080sb"
95,50482.0,7668357.279304751,732246.9214128434,"C000V4Peb,C000V4Pwb,C007nb,C007sb,C032eb,C032wb,C047nb,C047sb,C072eb,C072wb,C074eb,C074wb,C080nb,C080sb"
96,50486.0,7668067.110864383,732147.807587134,"C000V4Peb,C000V4Pwb,C007nb,C007sb,C032eb,C032wb"
97,50492.0,7675935.9015525,731641.3250985928,"C080nb,C080sb"
98,50514.0,7664647.017698965,730365.8152840217,"C032eb,C032wb"
99,50522.0,7675823.53963578,729980.1152418037,"C080nb,C080sb"
100,50531.0,7664685.80318577,729850.8827399422,"C032eb,C032wb"
101,50537.0,7689169.869427892,729571.1212038852,"C074eb,C074wb"
102,50543.0,7689148.210069079,729009.9725492796,"C074eb,C074wb"
103,50545.0,7666793.099020566,728836.8275836874,"C000V4Peb,C000V4Pwb"
104,50554.0,7689123.296143231,728208.1501952509,"C074eb,C074wb"
105,50555.0,7664904.20023158,728166.4569539962,"C000V4Peb,C000V4Pwb,C032eb,C032wb,C190Asb,C190Pnb"
106,50556.0,7664778.459458131,729297.838211309,"C032eb,C032wb,C190Asb,C190Pnb"
107,50557.0,7663919.749746332,727962.682363658,"C000V4Peb,C000V4Pwb"
108,50558.0,7663809.811810078,727940.5507433941,"C000V4Peb,C000V4Pwb"
109,50560.0,7662856.924270343,727660.2183372792,"C000V4Peb,C000V4Pwb"
110,50563.0,7675827.101978647,727141.0439817966,"C030eb,C030wb,C080nb,C080sb"
111,50564.0,7677576.00774544,727114.4050047222,"C030eb,C030wb,C080nb,C080sb"
112,50565.0,7679005.348371245,727105.8503028271,"C030eb,C030wb,C080nb,C080sb"
113,50566.0,7679140.986124842,727102.5837220426,"C030eb,C030wb,C080nb,C080sb"
114,50568.0,7680276.515203301,727080.204868453,"C030eb,C030wb,C080nb,C080sb"
115,50569.0,7681133.323240264,727065.8313341386,"C030eb,C030wb,C080nb,C080sb"
116,50570.0,7681963.68145418,727051.3361912611,"C030eb,C030wb,C080nb,C080sb"
117,50571.0,7674916.540102488,727035.9740524016,"C030eb,C030wb"
118,50572.0,7682792.649173371,727031.3492358713,"C030eb,C030wb,C080nb,C080sb"
119,50575.0,7685925.119627043,726967.5618561443,"C030eb,C030wb"
120,50576.0,7660808.111960367,726971.9867976343,"C000V4Peb,C000V4Pwb"
121,50579.0,7689084.906743091,726870.4833247653,"C030eb,C030wb,C074eb,C074wb"
122,50582.0,7673454.868974817,726628.1868851187,"C030eb,C030wb"
123,50585.0,7666206.450231088,726562.7327012992,"C030eb,C030wb"
124,50586.0,7664917.953551358,726671.0689869216,"C030eb,C030wb,C032eb,C032wb,C190Asb,C190Pnb"
125,50589.0,7659245.687794466,726414.2559132305,"C000V4Peb,C000V4Pwb"
126,50590.0,7659821.957240404,726628.5090105168,"C000V4Peb,C000V4Pwb"
127,50591.0,7667571.560507009,726392.329550091,"C030eb,C030wb"
128,50594.0,7668130.323585008,726321.4626219171,"C030eb,C030wb"
129,50595.0,7672219.98699442,726290.0546505997,"C030eb,C030wb"
130,50596.0,7668783.194919692,726251.5020823368,"C030eb,C030wb"
131,50597.0,7670860.116044928,726131.3931240585,"C030eb,C030wb"
132,50601.0,7670050.445152772,726078.9937356316,"C030eb,C030wb"
133,50604.0,7689050.577277456,725598.6131644127,"C030eb,C030wb,C074eb,C074wb"
134,50610.0,7663758.887668196,725143.7285021108,"C030eb,C030wb"
135,50611.0,7664980.692913968,725212.0575747461,"C030eb,C030wb,C032eb,C032wb"
136,50612.0,7661115.90329288,724723.8698720911,"C030eb,C030wb"
137,50613.0,7658298.473962881,724679.2412987767,"C030eb,C030wb"
138,50615.0,7659787.500803498,724654.9060135979,"C030eb,C030wb"
139,50616.0,7660792.182887575,724644.846977774,"C030eb,C030wb"
140,50622.0,7682728.575520175,724377.8263280415,"C080nb,C080sb"
141,50628.0,7689006.604109213,724235.3501190518,"C030eb,C030wb,C074eb,C074wb"
142,50651.0,7658455.800508758,722415.0198196648,"C000VMPeb,C000VMPwb"
143,50657.0,7662577.070302636,722148.0236656157,"C000VMPeb,C000VMPwb"
144,50658.0,7688979.877334495,722127.9909797072,"C030eb,C030wb,C074eb,C074wb"
145,50671.0,7664491.066164186,721623.7692502982,"C000VMPeb,C000VMPwb,C032eb,C032wb"
146,50676.0,7666073.122350205,721062.3854565793,"C000VMPeb,C000VMPwb"
147,50684.0,7667080.396494685,720712.4971486621,"C000VMPeb,C000VMPwb"
148,50689.0,7689157.154410779,720303.7244408412,"C030eb,C030wb,C074eb,C074wb"
149,50694.0,7655489.332602839,761793.0497953092,C019sb
150,50696.0,7652435.404428656,760966.0448281454,C019sb
151,50697.0,7655451.0703749135,760409.1005454337,"C019nb,C019sb"
152,50702.0,7652788.124840945,759344.2018993697,C019sb
153,50708.0,7638790.754654604,758288.2271687528,"C009nb,C009sb"
154,50709.0,7640925.42298822,758464.3764165104,"C009nb,C009sb"
155,50710.0,7652750.056035774,757914.2443357784,C019sb
156,50711.0,7655379.227855194,757852.6269147632,C019nb
157,50713.0,7642095.506102334,757494.4762261019,"C009nb,C009sb"
158,50717.0,7644809.357536592,756756.4333951919,"C009nb,C009sb"
159,50718.0,7647436.926349647,756706.9142677379,"C009nb,C009sb"
160,50719.0,7648442.902460691,756691.9007814176,"C009nb,C009sb"
161,50721.0,7650092.585884894,756658.6763508082,"C009nb,C009sb"
162,50722.0,7652710.813417389,756592.4147564878,"C019nb,C019sb"
163,50723.0,7655343.350384796,756539.9415452381,C019nb
164,50724.0,7654018.831697177,756563.2450967523,C019nb
165,50739.0,7652674.663003464,755276.4658295756,"C019nb,C019sb"
166,50745.0,7652635.205246471,754578.6673402496,"C019nb,C019sb"
167,50749.0,7652639.611645681,753967.955804252,"C019nb,C019sb"
168,50752.0,7652692.810752183,753709.6296549605,"C019nb,C019sb"
169,50755.0,7638052.213596993,751658.7083191689,"C009nb,C009sb"
170,50757.0,7653189.992065592,751600.7201399922,"C019nb,C019sb"
171,50758.0,7640682.621877842,751590.6551976233,"C009nb,C009sb"
172,50759.0,7642003.247251766,751577.1268110181,"C009nb,C009sb"
173,50770.0,7652950.039862782,750619.6180970155,"C019nb,C019sb"
174,50772.0,7652729.665184134,750112.3431533856,"C019nb,C019sb"
175,50779.0,7652442.065538342,749424.8348101175,"C019nb,C019sb"
176,50785.0,7651977.346074295,748284.4402261445,"C019nb,C019sb"
177,50791.0,7647998.9065063605,747653.5576734032,"C009nb,C009sb"
178,50792.0,7649443.627454679,747600.7617839467,"C009nb,C009sb"
179,50793.0,7651622.427926313,747436.7902944573,"C019nb,C019sb"
180,50797.0,7647950.087255178,747057.3890576876,"C009nb,C009sb"
181,50798.0,7641887.995790039,746904.3407986921,"C009nb,C009sb"
182,50800.0,7641873.726915771,746297.8786192697,"C009nb,C009sb"
183,50802.0,7644509.759036812,746235.5334023497,"C009nb,C009sb"
184,50803.0,7645246.773708733,746225.8339798743,"C002nb,C002sb,C009nb,C009sb"
185,50804.0,7645519.196048392,746228.8334034663,"C002nb,C002sb,C009nb,C009sb"
186,50805.0,7646687.123627328,746198.2628124076,"C002nb,C002sb,C009nb,C009sb"
187,50806.0,7647879.989036617,746198.2779267904,"C002nb,C002sb,C009nb,C009sb"
188,50807.0,7649430.471870882,746149.2915277544,"C009nb,C009sb,C019nb,C019sb,C025nb,C025sb,C048nb,C048sb,C071nb,C071sb,C078eb,C078wb,C105Anb,C105Asb,C105Pnb,C105Psb,C105Xnb,C105Xsb"
189,50808.0,7650615.232342707,746135.5006663074,"C019nb,C019sb,C025nb,C025sb,C071nb,C071sb,C078eb,C078wb"
190,50809.0,7651078.625349091,746130.9626360565,"C019nb,C019sb,C025nb,C025sb,C071nb,C071sb,C078eb,C078wb"
191,50810.0,7653372.379174289,746090.0761716441,"C025nb,C025sb"
192,50811.0,7653733.304108518,746078.5833497798,"C025nb,C025sb"
193,50812.0,7655961.30935275,746048.6197608209,"C025nb,C025sb"
194,50813.0,7657673.321941981,746003.9659193474,"C025nb,C025sb"
195,50814.0,7658472.608241032,745986.0345830765,"C025nb,C025sb"
196,50815.0,7658513.305018582,745984.9606966929,"C025nb,C025sb"
197,50817.0,7650991.369243655,745921.8262276194,"C071nb,C071sb,C078eb,C078wb"
198,50818.0,7647849.133519543,745520.7232179058,"C002nb,C002sb"
199,50824.0,7647840.794617172,744988.837799543,"C002nb,C002sb,C031nb,C031sb"
200,50825.0,7648827.806089707,744689.9167807838,"C002nb,C002sb,C009nb,C009sb,C019nb,C019sb,C025nb,C025sb,C031nb,C031sb,C048nb,C048sb,C071nb,C071sb,C078eb,C078wb,C105Anb,C105Asb,C105Pnb,C105Psb,C105Xnb,C105Xsb"
201,50829.0,7650033.251390644,743545.9515848226,"C071nb,C071sb,C078eb,C078wb"
202,50839.0,7647757.178202238,743360.8705678695,"C031nb,C031sb"
203,50840.0,7649907.416917691,743063.8527582512,"C071nb,C071sb,C078eb,C078wb"
204,50843.0,7645084.350878637,742015.4946684209,"C002nb,C002sb"
205,50844.0,7647747.7174737295,741968.0597696902,"C031nb,C031sb"
206,50846.0,7647753.39414076,741759.1337158447,"C031nb,C031sb"
207,50848.0,7642102.91198096,741088.2264680072,"C002nb,C002sb"
208,50849.0,7645046.93682923,741043.9386714456,"C002nb,C002sb"
209,50851.0,7641869.664565775,741030.1835443109,"C002nb,C002sb"
210,50853.0,7647794.489117349,740930.7486443341,"C031nb,C031sb"
211,50857.0,7649548.0767576555,740890.089738808,"C071nb,C071sb,C078eb,C078wb"
212,50859.0,7650283.911811711,740874.1689624432,"C078eb,C078wb"
213,50860.0,7651219.032471636,740848.9775625872,"C078eb,C078wb"
214,50861.0,7653619.116309972,740821.8520534275,"C078eb,C078wb"
215,50862.0,7655077.581030346,740811.223560956,"C078eb,C078wb"
216,50865.0,7647819.830171529,740619.093297933,"C031nb,C031sb"
217,50867.0,7647831.384455477,740364.6447897614,"C031nb,C031sb"
218,50875.0,7649295.848948392,739265.0395006975,"C071nb,C071sb"
219,50877.0,7642130.746043636,739204.2145139645,"C002nb,C002sb"
220,50880.0,7656083.027842066,738367.37032429,"C025nb,C025sb"
221,50882.0,7648009.829594556,738336.0434301733,"C031nb,C031sb"
222,50884.0,7643149.339995675,738290.2802708534,"C002nb,C002sb"
223,50885.0,7649136.978647445,738280.6747309152,"C071nb,C071sb"
224,50891.0,7655997.055686044,738026.4510389555,"C025nb,C025sb"
225,50892.0,7655987.499618998,737180.5345484726,"C025nb,C025sb"
226,50893.0,7647791.535326032,737085.2450505698,"C031nb,C031sb"
227,50895.0,7648929.378570657,736985.596163978,"C071nb,C071sb"
228,50897.0,7655710.522609643,736567.7222086646,C025sb
229,50899.0,7648848.441632007,736440.5019970108,"C071nb,C071sb"
230,50900.0,7655978.08616548,736442.8592655493,C025nb
231,50901.0,7647576.44856738,736026.018732851,"C031nb,C031sb"
232,50903.0,7655506.419309926,735709.5769547755,C025sb
233,50905.0,7655965.609494327,735465.1479623999,C025nb
234,50907.0,7648603.012225745,734835.1165843618,"C071nb,C071sb"
235,50908.0,7644170.704979632,734609.766362669,"C002nb,C002sb"
236,50913.0,7655496.10528961,734450.9140612119,C025sb
237,50914.0,7655953.460648425,734442.308641702,C025nb
238,50915.0,7647886.102243841,734430.7436612651,"C031nb,C031sb"
239,50917.0,7655962.516605835,734197.7413140121,C025nb
240,50920.0,7655525.051290609,734044.2625548178,C025sb
241,50922.0,7655520.587233275,733820.9078231798,C025sb
242,50923.0,7656028.7164929565,733808.3345071716,C025nb
243,50924.0,7648618.110945916,734034.2400355809,C071nb
244,50927.0,7648318.22788226,733168.5153633333,C071sb
245,50928.0,7648422.423425844,733850.2883717506,C071sb
246,50932.0,7648275.4160155635,732884.8934521904,"C031nb,C031sb,C071sb"
247,50939.0,7655640.255291539,732807.3953921305,C025sb
248,50940.0,7648494.232627862,732924.1506294941,C071nb
249,50941.0,7656004.289693363,732801.4239204067,C025nb
250,50943.0,7648213.722086544,732427.0302934151,"C031nb,C031sb,C071nb,C071sb"
251,50951.0,7648161.4360566735,732151.0844952667,"C031nb,C031sb,C071nb,C071sb"
252,50952.0,7644103.076841712,732132.7783274513,"C002nb,C002sb"
253,50954.0,7655984.180920928,731931.0567054151,C025nb
254,50956.0,7655587.570790525,731530.1981773807,C025sb
255,50957.0,7655960.596479008,731504.2004579536,C025nb
256,50963.0,7655819.441427005,731075.6130703028,C025nb
257,50964.0,7655411.001548373,731046.3396557994,C025sb
258,50966.0,7647944.028059057,730918.643959363,"C031nb,C031sb,C071nb,C071sb"
259,50970.0,7642145.634470574,730708.7546104173,C006eb
260,50971.0,7641585.986218052,730727.484109276,C006eb
261,50973.0,7643241.80135535,730672.7028614588,C006eb
262,50974.0,7644062.656300143,730645.8207974508,"C002nb,C002sb,C006eb"
263,50975.0,7644484.420272046,730627.0993499975,"C002nb,C002sb,C006eb"
264,50980.0,7655609.905558397,730537.6253728522,C025nb
265,50982.0,7647859.495246162,730478.7414128212,"C031nb,C031sb,C071nb,C071sb"
266,50991.0,7644462.8835130865,729923.7660755202,"C002nb,C002sb,C006eb"
267,50992.0,7647710.401815086,729781.4038128661,"C031nb,C031sb,C071nb,C071sb"
268,50994.0,7654731.230389516,729722.154373556,"C025nb,C025sb"
269,50998.0,7641478.577683069,729391.5734715641,"C006eb,C006wb"
270,51005.0,7644424.308726974,728976.2506220466,"C002nb,C002sb,C006eb"
271,51010.0,7647498.930735974,728853.5736485447,"C031nb,C031sb,C071nb,C071sb"
272,51012.0,7654080.837775678,728739.8496992508,"C025nb,C025sb"
273,51022.0,7653891.146354043,728540.6438766966,"C025nb,C025sb"
274,51025.0,7641435.187940245,728473.7458139753,C006wb
275,51028.0,7653648.112061975,728237.129696633,"C025nb,C025sb"
276,51031.0,7644382.132226116,727879.4514282406,"C002nb,C002sb,C006eb"
277,51033.0,7653277.823680203,727813.0994860709,"C025nb,C025sb"
278,51035.0,7647099.079131231,727777.1391486564,"C031nb,C031sb,C071nb,C071sb"
279,51044.0,7646990.311682137,727495.8247114987,"C031sb,C071sb"
280,51046.0,7652993.871733742,727488.1959316966,"C025nb,C025sb"
281,51047.0,7647110.213791804,727463.5026066864,"C031nb,C031sb,C071nb,C071sb"
282,51049.0,7652867.373858712,727353.0302806877,"C025nb,C025sb"
283,51051.0,7647091.253192874,727204.8016506579,"C031nb,C031sb,C071nb,C071sb"
284,51055.0,7641376.656205096,727165.961462306,C006wb
285,51056.0,7642118.912751048,727153.6065976645,C006wb
286,51058.0,7643776.733311359,727071.6500999491,C006wb
287,51059.0,7644349.773165473,727059.6271547952,"C002nb,C002sb,C006eb,C006wb"
288,51061.0,7645035.600793328,727026.5633327187,"C006eb,C006wb"
289,51062.0,7645393.655427147,727010.8997127169,"C006eb,C006wb"
290,51064.0,7645870.983596242,726993.082436575,"C006eb,C006wb"
291,51065.0,7646225.700128938,726983.6631441044,"C006eb,C006wb"
292,51066.0,7646587.089757765,726966.5929667626,"C006eb,C006wb"
293,51067.0,7646795.4251066465,726957.2593954477,"C006eb,C006wb"
294,51068.0,7647073.571826416,726948.5933110943,"C006eb,C006wb,C031nb,C031sb,C071nb,C071sb"
295,51069.0,7647364.438168265,726937.7235860111,"C006eb,C006wb"
296,51070.0,7647626.072681416,726924.0834520266,"C006eb,C006wb"
297,51071.0,7647907.544015151,726916.7676001554,"C006eb,C006wb"
298,51073.0,7648086.328301934,726908.2849741474,"C006eb,C006wb"
299,51074.0,7648465.639961609,726865.3688327792,"C006eb,C006wb"
300,51079.0,7650264.666727815,726758.5175805907,"C006eb,C006wb"
301,51081.0,7648632.652902978,726673.5843359326,"C006eb,C006wb"
302,51084.0,7650873.46370827,726592.8786953958,"C006eb,C006wb"
303,51085.0,7651022.104069377,726544.5905757195,"C006eb,C006wb"
304,51087.0,7651161.06801869,726495.604953522,"C006eb,C006wb"
305,51089.0,7648962.193100255,726395.1288015732,"C006eb,C006wb"
306,51090.0,7649575.361433026,726430.7095280358,"C006eb,C006wb"
307,51091.0,7649697.406403813,726493.0812898485,"C006eb,C006wb"
308,51093.0,7649420.122209304,726365.6165299206,"C006eb,C006wb"
309,51098.0,7652800.535967373,726184.126013619,"C000V4Peb,C000V4Pwb,C006eb,C006wb,C025nb,C025sb"
310,51104.0,7653789.502995065,726051.8793422884,"C000V4Peb,C000V4Pwb,C006eb,C006wb"
311,51106.0,7647031.448645679,726038.5944032815,"C031nb,C031sb,C071nb,C071sb"
312,51107.0,7654331.516907475,725970.6947660489,"C000V4Peb,C000V4Pwb,C006eb,C006wb"
313,51114.0,7656760.675604905,725694.7819946376,"C000V4Peb,C000V4Pwb"
314,51126.0,7654308.495653747,725179.4749172864,"C006eb,C006wb,C030eb,C030wb"
315,51127.0,7654737.344279171,725162.4472900121,"C030eb,C030wb"
316,51128.0,7651018.744252693,725085.9311911222,"C000V4Peb,C000V4Pwb,C025nb,C025sb"
317,51131.0,7644269.70885143,725042.3366634063,"C002nb,C002sb"
318,51133.0,7646994.482755886,725029.8989682815,"C000V4Peb,C000V4Pwb,C030eb,C031nb,C031sb,C032eb,C032wb,C071nb,C071sb"
319,51134.0,7646434.424990164,725025.9830028936,C000V4Pwb
320,51137.0,7647267.756869397,725018.8784315796,"C000V4Peb,C000V4Pwb,C030eb,C030wb"
321,51139.0,7648105.31267182,724984.6844713804,"C000V4Peb,C000V4Pwb,C030eb,C030wb"
322,51140.0,7648384.362581189,724956.112958956,"C000V4Peb,C000V4Pwb,C030eb,C030wb"
323,51142.0,7655399.379202389,724778.3001758396,"C030eb,C030wb"
324,51146.0,7656714.262137969,724729.3181030987,"C030eb,C030wb"
325,51147.0,7657372.474821083,724692.6423239777,"C030eb,C030wb"
326,51154.0,7650094.5706728455,724315.901204258,"C000V4Peb,C000V4Pwb,C025nb,C025sb,C030eb,C030wb"
327,51156.0,7644234.784474642,724316.1819145642,"C002nb,C002sb,C025sb"
328,51157.0,7645270.70642614,724274.820777704,"C002nb,C002sb,C025nb,C025sb"
329,51158.0,7646099.623627871,724199.3579871742,C002nb
330,51159.0,7646398.503844287,724188.8123963579,"C000V4Pwb,C002nb,C030wb,C031sb,C032eb,C041eb,C041wb,C071sb,C105Asb,C105Psb"
331,51160.0,7646952.8920977935,724190.3553599503,"C000V4Peb,C002nb,C030eb,C030wb,C031nb,C031sb,C032eb,C032wb,C041eb,C041wb,C071nb,C071sb,C105Asb,C105Psb"
332,51161.0,7646679.967425398,724191.995664153,"C002nb,C030wb,C031sb,C032eb,C041eb,C041wb,C071sb,C105Asb,C105Psb"
333,51162.0,7647232.509556425,724177.3577155411,"C030wb,C041wb,C105Asb,C105Psb"
334,51163.0,7647514.0717943935,724162.943418916,"C041wb,C105Asb,C105Psb"
335,51166.0,7654553.950887352,723950.3821329448,"C006eb,C006wb,C030eb,C030wb"
336,51167.0,7652124.451828242,723962.5578998474,"C030eb,C030wb"
337,51168.0,7645257.644787102,723954.5363548776,C025nb
338,51169.0,7652844.63511739,723940.5126826372,"C030eb,C030wb"
339,51171.0,7646087.894115304,723936.6500222712,C002sb
340,51172.0,7646389.371374602,723933.8375855003,"C000V4Pwb,C002sb,C030wb,C031sb,C032eb,C041eb,C041wb,C071sb,C105Asb,C105Psb"
341,51174.0,7646941.518471635,723911.4005220045,"C000V4Peb,C002nb,C030eb,C031nb,C032wb,C060NJsb,C060sb,C071nb,C105Anb,C105Pnb"
342,51175.0,7647226.7848278405,723898.7401232609,"C060NJsb,C060sb,C105Anb,C105Pnb"
343,51178.0,7647504.066107962,723892.7534113801,"C060NJsb,C060sb,C105Anb,C105Pnb"
344,51184.0,7644216.451732057,723732.2276074721,C025sb
345,51185.0,7645246.765476065,723679.3752441236,C025nb
346,51189.0,7646378.6629872685,723642.2663105814,"C000V4Pwb,C002sb,C030wb,C031sb,C032eb,C041eb,C041wb,C071sb,C105Asb,C105Psb"
347,51191.0,7646933.799398271,723631.3782892282,"C000V4Peb,C002nb,C030eb,C031nb,C032wb,C060NJsb,C060sb,C071nb,C105Anb,C105Pnb"
348,51196.0,7645246.136718864,723418.7253418488,C025nb
349,51197.0,7649218.2663112115,723408.9435491743,"C000VMPeb,C000VMPwb,C025nb,C025sb"
350,51202.0,7644119.342310826,723181.245416087,C025sb
