,NO,XCOORD,YCOORD,LINES
0,50004.0,7651646.260023679,718695.8688431729,C006wb
1,50056.0,7661300.237161578,745606.0785170664,"C025nb,C025sb"
2,50057.0,7660321.789479971,745736.7384493417,"C025nb,C025sb"
3,50061.0,7580854.305916046,701558.2890118976,"RCNHam,RCNHpm"
4,50064.0,7684638.082518581,717724.4740955866,"C000VMPeb,C000VMPwb"
5,50065.0,7683562.818668847,714180.4684694363,"C080nb,C080sb"
6,50119.0,7661577.398894749,727223.915327827,"C000V4Peb,C000V4Pwb"
7,50120.0,7664722.368162116,735284.4993053894,"C078eb,C078wb"
8,50122.0,7664679.553408299,732865.5011053281,"C032eb,C032wb,C078eb,C078wb"
9,50125.0,7668078.318498229,733031.0590383831,"C032eb,C032wb,C078eb,C078wb"
10,50130.0,7672770.408571294,733835.1446542654,"C007nb,C007sb,C047nb,C047sb,C072eb,C072wb,C074eb,C074wb,C080nb,C080sb"
11,50132.0,7675961.927612369,733058.3663198788,"C080nb,C080sb"
12,50133.0,7675782.580433134,733924.145605115,"C080nb,C080sb"
13,50138.0,7678388.622827336,736367.0034405356,"C074eb,C074wb"
14,50148.0,7677497.169488485,738716.4066759843,"C007nb,C007sb,C047nb,C047sb"
15,50150.0,7689305.279423345,714916.7057183654,"C030eb,C030wb"
16,50156.0,7677692.997259939,749343.7883054937,"C007nb,C007sb,C047nb,C047sb"
17,50157.0,7677765.2471228065,750873.9941756699,"C007nb,C007sb,C047nb,C047sb"
18,50162.0,7696488.270446224,713489.4519151493,"C034nb,C034sb"
19,50163.0,7696507.174451195,714695.0277236584,"C034nb,C034sb"
20,50168.0,7689302.54739092,715634.9098386765,"C030eb,C030wb"
21,50170.0,7691524.216815789,717405.9259376655,"C000VMPeb,C000VMPwb"
22,50174.0,7679424.931790874,766756.9398669268,"C007nb,C007sb,C047nb,C047sb"
23,50176.0,7654320.108126536,761816.5951912047,C019sb
24,50182.0,7641097.446825188,804416.7226908804,C048sb
25,50184.0,7640596.359355955,804328.8878296177,C048sb
26,50185.0,7640534.963641575,804233.0456748252,C048sb
27,50197.0,7647455.728060854,804704.2985104959,"C048nb,C048sb"
28,50297.0,7677607.625128295,745581.7883183726,"C007nb,C007sb,C047nb,C047sb,C072eb"
29,50300.0,7679603.344604804,745564.0183482553,C072eb
30,50302.0,7679905.051584407,745558.6154536358,C072eb
31,50303.0,7680927.127023666,745548.7319929341,C072eb
32,50305.0,7682907.551928313,745524.5455133002,C072eb
33,50307.0,7684240.244763337,745518.8434217916,C072eb
34,50308.0,7686888.988864859,745494.1694663133,C072eb
35,50311.0,7660375.741956545,744725.467982419,"C025nb,C025sb"
36,50312.0,7660278.407498827,744635.2706833248,"C025nb,C025sb"
37,50315.0,7677598.191582821,744502.4867494024,"C007nb,C007sb,C047nb,C047sb,C072eb"
38,50321.0,7659008.156767145,743323.5365586937,"C025nb,C025sb,C078eb,C078wb"
39,50322.0,7663230.078369757,743260.4277937885,"C078eb,C078wb"
40,50327.0,7677601.882069958,742733.3628631438,"C007nb,C007sb,C047nb,C047sb,C072eb"
41,50330.0,7686843.565601783,742238.0600840752,C072eb
42,50333.0,7689407.377049998,742150.0327966599,C072wb
43,50338.0,7658900.513397705,741842.116018867,"C025nb,C025sb,C078eb,C078wb"
44,50340.0,7689030.2742156545,741862.7192194888,C072wb
45,50346.0,7686821.062820822,741143.0251428896,"C072eb,C072wb"
46,50347.0,7689491.84047683,741054.9893172745,C072wb
47,50349.0,7677548.5514321495,740845.519541909,"C007nb,C007sb,C047nb,C047sb,C072eb"
48,50350.0,7658875.442263468,740704.6155486845,"C025nb,C025sb,C078eb,C078wb"
49,50358.0,7664827.304946602,740592.7065489934,"C078eb,C078wb"
50,50362.0,7686938.430549499,740298.7129347599,C072wb
51,50365.0,7671534.185434353,740007.0756088293,"C072eb,C072wb"
52,50366.0,7672896.57186778,739978.2989924593,"C072eb,C072wb"
53,50368.0,7674786.625026599,739937.365855091,"C072eb,C072wb"
54,50369.0,7675242.052516442,739930.187745362,"C072eb,C072wb"
55,50370.0,7678315.598671484,739830.1958056005,C072wb
56,50371.0,7679369.298609354,739758.373943718,C072wb
57,50372.0,7680345.2026199335,739699.2366691666,C072wb
58,50373.0,7680894.516455125,739695.4934515946,C072wb
59,50374.0,7671748.360261996,739691.3416239328,"C072eb,C072wb"
60,50378.0,7685344.456134278,739536.224302242,C072wb
61,50379.0,7686221.392745105,739481.1756513666,C072wb
62,50384.0,7677529.344764815,739886.4056107712,"C007nb,C007sb,C047nb,C047sb,C072eb,C072wb"
63,50393.0,7682815.277230127,737797.9650092168,"C074eb,C074wb"
64,50394.0,7684485.183419963,737777.4087850812,"C074eb,C074wb"
