MAZ,NO,CODE,NAME,USEIMAGEFILE,CATNO,CATNAME,XCOORD,YCOORD,IMAGEHEIGHT,USEIMAGEHEIGHT,IMAGEANGLE,ACTIVE_ACRES,ADT2000,ADT2017,ADTMODEL,AFFGEOID,ALAND,AWATER,BLKGRP,BLOCK,BUILT_FORM,CITY,CITYNM,COLLEGEENROLL,COUNTY,COUNTYFP,CTNUM,DAYCAREFAC,DISTRICT06,DIST_9TO12,DIST_KTO8,EBIKEACCTIME,ECT_DIST,ELEM,EMP2000,EMPMODEL,EMPPER,EMP_ACC,EMP_AER,EMP_AFS,EMP_CON,EMP_EDU,EMP_FSD,EMP_GOV,EMP_HCS,EMP_HTMFG,EMP_IFRPBS,EMP_MFG,EMP_NHTMFG,EMP_NRM,EMP_OSV,EMP_RCS,EMP_RET,EMP_TOTAL,EMP_TWU,EMP_WT,ENROLLGRADE9to12,ENROLLGRADEKto8,ENROLL_912,ESCOOACCTIME,EXTERNAL,EXT_GROWTH,EXT_NWRK_SIZE,EXT_WORK_SIZE,GA,GEOID,GEOID20,GEOIDFQ20,HHDEN,HHPER,HIGH,HIGH_DIST,INTHMI,INTPTLAT,INTPTLON,INT_GROWTH,MAXCONNECTORWEIGHT,MAZID,MIDDLE,MID_DIST,NEW_MZNUM,OBJECTID,OSPC_ACRES,PARKACRES,PARKATTRACT,PARKCLASS,PARKDEVELOP,PNR_LOT_NAME,PNR_SPACES,POP2000,POPEMPDEN,POPHHDEN,POPMODEL,PRKCST_DAY,PRKCST_HR,PRKCST_MNTH,PRKSPACES,PUMA,RETDEN,RIVER,SCHDIST,SHAPE_AREA,SHAPE_LENG,SKATS,STATEFP,SUFFIX,TAZ,TAZABM,TERMINALTIME,TOTEMP23,TOTEMPHH,TOTGQHHS,TOTNGQHHS,TOTNUMZONES,TRACT,TRACTCE,TRACT_NUM,TYPENO,UGB,UGBID,TOTHHS,TOTPOP,ACRES,walk_dist_local_bus,walk_dist_premium_transit,empden,retempden,duden,popden,popempdenpermi,totint,EXPPRK_HR,EXPPRK_DAY,EXPPRK_MNTH,PARKAREA
1,1,,External,0,25,PedestrianZones,2290546.513,142288.7498,10,0,0,0.0,0,0,0,,0,0,0,0.0,0,0,,0,0,,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,8466,0,0,0,0,,,,0.0,0.0,0,0,0,,,0,0,8000100000,0,0,0,0,0.0,0.0,0,,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,,,1,80001,0,0,0,0,0,0,0,,0,0,0,0,0,0,71.23201391780478,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0
2,2,,External,0,25,PedestrianZones,2289428.032,144212.4238,10,0,0,0.0,0,0,0,,0,0,0,0.0,0,0,,0,0,,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,27578,0,0,0,0,,,,0.0,0.0,0,0,0,,,0,0,8000200000,0,0,0,0,0.0,0.0,0,,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,,,2,80002,0,0,0,0,0,0,0,,0,0,0,0,0,0,71.23201391725166,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0
3,3,,External,0,25,PedestrianZones,2289230.556,148307.3016,10,0,0,0.0,0,0,0,,0,0,0,0.0,0,0,,0,0,,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,630,0,0,0,0,,,,0.0,0.0,0,0,0,,,0,0,8000300000,0,0,0,0,0.0,0.0,0,,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,,,3,80003,0,0,0,0,0,0,0,,0,0,0,0,0,0,71.23201391756929,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0
4,4,,External,0,25,PedestrianZones,2291263.916,154324.3946,10,0,0,0.0,0,0,0,,0,0,0,0.0,0,0,,0,0,,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,1802,0,0,0,0,,,,0.0,0.0,0,0,0,,,0,0,8000400000,0,0,0,0,0.0,0.0,0,,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,,,4,80004,0,0,0,0,0,0,0,,0,0,0,0,0,0,71.23201391799452,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0
5,5,,External,0,25,PedestrianZones,2297064.359,159545.5369,10,0,0,0.0,0,0,0,,0,0,0,0.0,0,0,,0,0,,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,5620,0,0,0,0,,,,0.0,0.0,0,0,0,,,0,0,8000500000,0,0,0,0,0.0,0.0,0,,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,,,5,80005,0,0,0,0,0,0,0,,0,0,0,0,0,0,71.2320139180674,999999.0,999999.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0
7109,7109,,Block 2019,0,25,PedestrianZones,2299385.715,144483.7281,10,0,0,0.0,0,0,0,,11870,0,2,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,9999,0,0,0,0,1,2019.0,410470000000000.0,1000000US410470002002019,0.0,0.99,80103,0,85,44.9384939,-123.0423034,0,1,8006202019,80068,0,0,485,0.0,0.0,0,,,,0,0,0.0,0.61,0,0,0.0,0.0,0,0,0,0,1,127738.6,1588.05,1,,,62,80062,2,1,161,0,0,0,200,,0,0,1,0,160,236,2.9324720956639445,0.0,999999.0,33.597,1.981,3.138,4.798,24573.259,85,,,,
7144,7144,,Block 2008,0,25,PedestrianZones,2299391.504,145237.7673,10,0,0,0.03,0,0,0,,0,15397,2,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,1,2008.0,410470000000000.0,1000000US410470002002008,0.0,0.0,80103,0,108,44.945278,-123.0425307,0,1,8006102008,80068,0,0,540,0.0,0.03,3,URBAN PARK,DEVELOPED,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,1,1,165698.28,1638.79,1,,,61,80061,2,0,0,0,0,0,200,,0,0,1,0,0,0,3.803905688144883,0.444,999999.0,8.524,0.872,1.939,2.127,6816.304,108,,,,
7145,7145,,Block 2006,0,25,PedestrianZones,2299568.943,145362.5319,10,0,0,1.03,0,0,0,,24345,0,2,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,9999,0,0,0,0,1,2006.0,410470000000000.0,1000000US410470002002006,0.0,0.0,80103,0,112,44.9464505,-123.040333,0,3,8006102006,80068,0,0,541,0.0,1.03,2,SPECIAL USE FACILITY,DEVELOPED,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1,262003.23,2497.16,1,,,61,80061,2,4,4,0,0,0,200,,0,0,1,0,0,0,6.01476113271166,0.299,999999.0,11.417,1.762,1.3,1.504,8269.845,112,,,,
7146,7146,,Block 2009,0,25,PedestrianZones,2299461.611,145211.6474,10,0,0,0.67,0,0,0,,3308,0,2,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,1,2009.0,410470000000000.0,1000000US410470002002009,0.0,0.0,80103,0,108,44.9450629,-123.0416323,0,1,8006102009,80068,0,0,542,0.0,0.67,3,URBAN PARK,DEVELOPED,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1,35599.94,1003.56,1,,,61,80061,2,0,0,0,0,0,200,,0,0,1,0,0,0,0.8172614194023821,0.444,999999.0,8.524,0.872,1.939,2.127,6816.304,108,,,,
7147,7147,,Block 2010,0,25,PedestrianZones,2299518.878,145188.2765,10,0,0,1.68,0,0,0,,12415,0,2,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,9999,0,0,0,0,1,2010.0,410470000000000.0,1000000US410470002002010,0.0,0.0,80103,0,109,44.9448689,-123.0408977,0,3,8006102010,80068,0,0,543,0.0,1.68,2,SPECIAL USE FACILITY,DEVELOPED,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1,133611.8,1479.08,1,,,61,80061,2,16,16,0,0,0,200,,0,0,1,0,0,0,3.0673022034333437,0.483,999999.0,10.362,1.526,1.487,1.665,7697.045,109,,,,
