MAZ,NO,CODE,NAME,USEIMAGEFILE,CATNO,CATNAME,XCOORD,YCOORD,IMAGEHEIGHT,USEIMAGEHEIGHT,IMAGEANGLE,ACTIVE_ACRES,ADT2000,ADT2017,ADTMODEL,AFFGEOID,ALAND,AWATER,BLKGRP,BLOCK,BUILT_FORM,CITY,CITYNM,COLLEGEENROLL,COUNTY,COUNTYFP,CTNUM,DAYCAREFAC,DISTRICT06,DIST_9TO12,DIST_KTO8,EBIKEACCTIME,ECT_DIST,ELEM,EMP2000,EMPMODEL,EMPPER,EMP_ACC,EMP_AER,EMP_AFS,EMP_CON,EMP_EDU,EMP_FSD,EMP_GOV,EMP_HCS,EMP_HTMFG,EMP_IFRPBS,EMP_MFG,EMP_NHTMFG,EMP_NRM,EMP_OSV,EMP_RCS,EMP_RET,EMP_TOTAL,EMP_TWU,EMP_WT,ENROLLGRADE9to12,ENROLLGRADEKto8,ENROLL_912,ESCOOACCTIME,EXTERNAL,EXT_GROWTH,EXT_NWRK_SIZE,EXT_WORK_SIZE,GA,GEOID,GEOID20,GEOIDFQ20,HHDEN,HHPER,HIGH,HIGH_DIST,INTHMI,INTPTLAT,INTPTLON,INT_GROWTH,MAXCONNECTORWEIGHT,MAZID,MIDDLE,MID_DIST,NEW_MZNUM,OBJECTID,OSPC_ACRES,PARKACRES,PARKATTRACT,PARKCLASS,PARKDEVELOP,PNR_LOT_NAME,PNR_SPACES,POP2000,POPEMPDEN,POPHHDEN,POPMODEL,PRKCST_DAY,PRKCST_HR,PRKCST_MNTH,PRKSPACES,PUMA,RETDEN,RIVER,SCHDIST,SHAPE_AREA,SHAPE_LENG,SKATS,STATEFP,SUFFIX,TAZ,TAZABM,TERMINALTIME,TOTEMP23,TOTEMPHH,TOTGQHHS,TOTNGQHHS,TOTNUMZONES,TRACT,TRACTCE,TRACT_NUM,TYPENO,UGB,UGBID,TOTHHS,TOTPOP,ACRES,walk_dist_local_bus,walk_dist_premium_transit,empden,retempden,duden,popden,popempdenpermi,totint,EXPPRK_HR,EXPPRK_DAY,EXPPRK_MNTH,PARKAREA
7148,7148,,Block 2022,0,25,PedestrianZones,2299640.806,145140.2077,10,0,0,0.0,0,0,0,,17555,0,2,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,0,0,0,0,0,0,0,54,0,0,15,0,0,0,0,0,0,30,0,0,0,0,0,9999,0,0,0,0,1,2022.0,410470000000000.0,1000000US410470002002022,0.0,0.0,80103,0,111,44.944471,-123.0393342,0,3,8006302022,80068,0,0,544,0.0,0.0,0,,,,0,0,0.0,0.0,0,15,0.0,0.0,13,0,0,0,1,188937.23,1739.21,1,,,63,80063,2,53,53,0,0,0,200,,0,0,1,0,12,12,4.337398066695443,0.164,999999.0,27.307,2.687,2.113,2.712,19211.948,111,,,,
7149,7149,,Block 2040,0,25,PedestrianZones,2299497.953,144773.3347,10,0,0,0.0,0,0,0,,17194,0,2,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,1,0,0,14,5,9,0,0,16,0,324,23,0,0,19,0,12,185,0,0,0,0,0,9999,0,0,0,0,1,2040.0,410470000000000.0,1000000US410470002002040,0.0,0.07,80103,0,105,44.9411306,-123.0409974,0,3,8006302040,80068,0,0,545,0.0,0.0,0,,,,0,0,7.39,0.58,0,15,0.0,0.0,70,0,0,0,1,185034.78,1720.88,1,,,63,80063,2,244,263,0,0,0,200,,0,0,1,0,19,26,4.247810207598636,0.179,999999.0,31.802,2.76,2.26,2.924,22224.368,105,,,,
7150,7150,,Block 2048,0,25,PedestrianZones,2299455.329,144660.8686,10,0,0,0.0,0,0,0,,14293,0,2,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,1,0,6,9,1,0,0,0,4,0,13,0,0,0,1,0,3,46,0,0,0,0,0,9999,0,0,0,0,1,2048.0,410470000000000.0,1000000US410470002002048,0.0,0.02,80103,0,94,44.940107,-123.0414924,0,3,8006302048,80068,0,0,546,0.0,0.0,0,,,,0,0,32.33,0.67,0,15,0.0,0.0,27,0,0,0,1,153818.81,1540.31,1,,,63,80063,2,194,198,0,0,0,200,,0,0,1,0,4,6,3.5311907613230966,0.179,999999.0,31.802,2.76,2.26,2.924,22224.368,94,,,,
7151,7151,,Block 2046,0,25,PedestrianZones,2299622.332,144724.8008,10,0,0,0.0,0,0,0,,18078,0,2,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,0,0,0,130,21,0,0,0,7,0,47,7,0,0,4,0,46,166,0,47,0,0,0,9999,0,0,0,0,1,2046.0,410470000000000.0,1000000US410470002002046,0.0,0.1,80103,0,106,44.9407293,-123.0394028,0,3,8006602046,80068,0,0,547,0.0,0.0,0,,,,0,0,5.11,0.56,0,15,0.0,0.0,107,0,0,0,1,194551.15,1764.79,1,,,66,80066,2,230,255,0,0,0,200,,0,0,1,0,25,35,4.466275978766019,0.115,999999.0,32.084,2.209,6.391,7.084,25067.751,106,,,,
7152,7152,,Block 1008,0,25,PedestrianZones,2299919.132,145878.7828,10,0,0,0.0,0,0,0,,24230,0,1,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,1,0,0,0,0,26,0,0,0,0,42,0,0,0,0,0,0,75,0,0,0,0,0,9999,0,0,0,0,1,1008.0,410470000000000.0,1000000US410470002001008,0.0,0.0,80103,0,121,44.951193,-123.0361028,0,3,8008501008,80068,0,0,548,0.22,0.22,1,NATURAL AREA,UNDEVELOPED,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1,260755.62,2250.88,1,,,85,80085,2,73,73,0,0,0,200,,0,0,1,0,0,0,5.986120156888335,0.185,999999.0,10.217,0.485,2.486,5.193,9862.72,121,,,,
7153,7153,,Block 1007,0,25,PedestrianZones,2299862.689,145724.4013,10,0,0,0.0,0,0,0,,17711,0,1,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,0,0,0,0,0,9999,0,0,0,0,1,1007.0,410470000000000.0,1000000US410470002001007,0.0,0.0,80103,0,119,44.9497885,-123.0367564,0,3,8008501007,80068,0,0,549,0.59,0.59,1,NATURAL AREA,UNDEVELOPED,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1,190601.74,1794.21,1,,,85,80085,2,23,23,0,0,0,200,,0,0,1,0,0,0,4.37560991115982,0.356,999999.0,11.179,0.59,1.873,3.779,9573.152,119,,,,
7154,7154,,Block 1025,0,25,PedestrianZones,2299802.801,145553.8858,10,0,0,0.0,0,0,0,,32402,0,1,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,0,0,0,0,42,0,0,2,38,0,14,0,0,0,0,0,15,52,0,0,0,0,0,9999,0,0,0,0,1,1025.0,410470000000000.0,1000000US410470002001025,0.0,0.02,80103,0,118,44.9482378,-123.0374471,0,3,8008501025,80068,0,0,550,0.0,0.0,0,,,,0,0,23.5,0.5,0,0,0.0,0.0,0,0,0,0,1,348704.17,2443.48,1,,,85,80085,2,94,96,0,0,0,200,,0,0,1,0,2,3,8.005139181779432,0.226,999999.0,13.321,1.848,2.157,3.536,10788.477,118,,,,
7155,7155,,Block 2003,0,25,PedestrianZones,2299718.962,145393.9108,10,0,0,0.0,0,0,0,,2222,0,2,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,1,2003.0,410470000000000.0,1000000US410470002002003,0.0,0.0,80103,0,115,44.9468545,-123.0377033,0,1,8006102003,80068,0,0,551,0.0,0.0,0,,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1,23906.52,1402.07,1,,,61,80061,2,0,0,0,0,0,200,,0,0,1,0,0,0,0.5488177037128407,0.248,999999.0,15.65,2.023,1.653,2.142,11386.944,115,,,,
7156,7156,,Block 2002,0,25,PedestrianZones,2299864.871,145334.069,10,0,0,0.0,0,0,0,,18467,0,2,410470000000000.0,0,2,Salem,0,47,,0,1,1,1,1,9999,0,80064,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,9999,0,0,0,0,1,2002.0,410470000000000.0,1000000US410470002002002,0.0,0.67,80103,0,123,44.9462781,-123.0365734,0,1,8006402002,80068,0,0,552,0.0,0.0,0,,,,0,0,0.38,0.75,0,0,0.0,0.0,0,0,0,0,1,198732.94,1771.69,1,,,64,80064,2,6,18,0,0,0,200,,0,0,1,0,12,16,4.562276578540442,0.127,999999.0,32.072,2.29,2.672,3.925,23037.845,123,,,,
7157,7157,,Block 2012,0,25,PedestrianZones,2299618.944,145292.0644,10,0,0,0.0,0,0,0,,1991,0,2,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,1,2012.0,410470000000000.0,1000000US410470002002012,0.0,0.0,80103,0,109,44.9458308,-123.0396716,0,1,8006102012,80068,0,0,553,0.0,0.0,0,,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1,21417.82,959.34,1,,,61,80061,2,0,0,0,0,0,200,,0,0,1,0,0,0,0.4916850824365845,0.291,999999.0,14.896,2.252,1.609,1.949,10780.492,109,,,,
7158,7158,,Block 2037,0,25,PedestrianZones,2299591.707,145018.9096,10,0,0,0.0,0,0,0,,16481,0,2,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,9999,0,0,0,0,1,2037.0,410470000000000.0,1000000US410470002002037,0.0,0.17,80103,0,111,44.9433661,-123.0399078,0,3,8006302037,80068,0,0,554,0.0,0.0,0,,,,0,0,3.33,0.67,0,15,0.0,0.0,30,0,0,0,1,177368.42,1722.29,1,,,63,80063,2,20,24,0,0,0,200,,0,0,1,0,108,110,4.071814944076562,0.269,999999.0,31.677,2.772,2.108,2.693,21996.755,111,,,,
7159,7159,,Block 1024,0,25,PedestrianZones,2299989.28,145818.9652,10,0,0,0.0,0,0,0,,6279,0,1,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80064,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,12,0,0,0,0,0,9999,0,0,0,0,1,1024.0,410470000000000.0,1000000US410470002001024,0.0,0.0,80103,0,124,44.9506748,-123.0351905,0,3,8008501024,80068,0,0,555,0.0,0.0,0,,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1,67575.51,1208.27,1,,,85,80085,2,12,12,0,0,0,200,,0,0,1,0,0,0,1.5513189456921128,0.174,999999.0,10.266,0.481,2.569,5.358,9998.847,124,,,,
7160,7160,,Block 1013,0,25,PedestrianZones,2300124.321,145863.5102,10,0,0,0.0,0,0,0,,10025,0,1,410470000000000.0,0,2,Salem,0,47,,0,0,1,1,1,9999,0,80090,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,30,0,0,0,0,0,9999,0,0,0,0,1,1013.0,410470000000000.0,1000000US410470002001013,0.0,0.31,80103,0,132,44.9511136,-123.0334976,0,3,8008501013,80068,0,0,556,0.0,0.0,0,,,,0,0,0.96,0.42,0,0,0.0,0.0,0,0,0,0,1,107887.64,1314.94,1,,,85,80085,2,25,36,0,0,0,200,,0,0,1,0,11,22,2.47675719282485,0.123,999999.0,9.158,0.485,2.962,6.308,9898.108,132,,,,
7161,7161,,Block 2001,0,25,PedestrianZones,2299991.872,145284.9803,10,0,0,0.0,0,0,0,,18039,0,2,410470000000000.0,0,2,Salem,0,47,,0,1,1,1,1,9999,0,80064,0,0,1,0,0,17,0,0,0,0,0,0,107,4,0,0,4,0,0,129,0,0,0,0,0,9999,0,0,0,0,1,2001.0,410470000000000.0,1000000US410470002002001,0.0,0.0,80103,0,131,44.9458724,-123.0349453,0,3,8006402001,80068,0,0,557,0.0,0.0,0,,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,1,194134.46,1762.33,1,,,64,80064,2,91,91,0,0,0,200,,0,0,1,0,0,0,4.456710073233623,0.036,999999.0,39.109,2.141,2.609,3.915,27535.599,131,,,,
7219,7219,,Block 5007,0,25,PedestrianZones,2301785.874,143932.3109,10,0,0,0.0,0,0,0,,20298,0,5,410470000000000.0,0,2,Salem,0,47,,0,0,4,1,1,9999,0,80119,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,9999,0,0,0,0,4,5007.0,410470000000000.0,1000000US410470009005007,0.0,0.52,80103,0,121,44.9342094,-123.0116897,0,2,8010905007,80082,0,0,628,0.0,0.0,0,,,,0,0,0.33,0.36,0,0,0.0,0.0,0,0,0,0,1,218439.35,2204.47,1,,,109,80109,1,26,54,0,0,0,900,,0,0,1,0,28,69,5.014672981424606,0.245,999999.0,9.85,0.072,3.663,8.574,11791.553,121,,,,
7282,7282,,Block 3016,0,25,PedestrianZones,2301383.147,144903.813,10,0,0,0.0,0,0,0,,12942,0,3,410470000000000.0,0,2,Salem,0,47,,0,0,4,1,1,9999,0,80100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,4,3016.0,410470000000000.0,1000000US410470006003016,0.0,1.0,80103,0,144,44.9428353,-123.017173,0,1,8010403016,80082,0,0,820,0.0,0.0,0,,,,0,0,0.0,0.65,0,0,0.0,0.0,0,0,0,0,1,139276.72,1498.24,1,,,104,80104,1,0,13,0,0,0,600,,0,0,1,0,13,25,3.1973506112709766,0.068,999999.0,1.875,0.11,4.846,10.399,7855.619,144,,,,
7283,7283,,Block 6017,0,25,PedestrianZones,2301504.264,144364.6938,10,0,0,0.0,0,0,0,,12203,0,6,410470000000000.0,0,2,Salem,0,47,,0,1,4,1,1,9999,0,80106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,4,6017.0,410470000000000.0,1000000US410470009006017,0.0,1.0,80103,0,147,44.9380199,-123.0154263,0,1,8010806017,80082,0,0,821,0.0,0.0,0,,,,0,0,0.0,0.75,0,0,0.0,0.0,0,0,0,0,1,131330.49,1439.39,1,,,108,80108,1,0,6,0,0,0,900,,0,0,1,0,6,7,3.014930484995926,0.182,999999.0,3.703,0.158,5.144,11.31,9608.707,147,,,,
7284,7284,,Block 1023,0,25,PedestrianZones,2302106.0,145878.231,10,0,0,0.0,0,0,0,,17134,0,1,410470000000000.0,0,2,Salem,0,47,,0,0,4,1,1,9999,0,80100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,4,1023.0,410470000000000.0,1000000US410470006001023,0.0,0.9,80103,0,93,44.9518024,-123.0084011,0,1,8009901023,80377,0,0,822,0.0,0.0,0,,,,0,0,0.04,0.42,0,0,0.0,0.0,0,0,0,0,1,184393.9,1744.01,1,,,99,80099,1,2,21,0,0,0,600,,0,0,1,0,19,52,4.233097629456422,0.195,999999.0,3.432,0.136,2.82,6.883,6601.37,93,,,,
7285,7285,,Block 2023,0,25,PedestrianZones,2301995.412,145028.5112,10,0,0,0.0,0,0,0,,13259,0,2,410470000000000.0,0,2,Salem,0,47,,0,0,4,1,1,9999,0,80100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,4,2023.0,410470000000000.0,1000000US410470006002023,0.0,1.0,80103,0,144,44.9441283,-123.0094675,0,1,8010002023,80082,0,0,823,0.0,0.0,0,,,,0,0,0.0,0.43,0,0,0.0,0.0,0,0,0,0,1,142691.78,1515.03,1,,,100,80100,1,0,15,0,0,0,600,,0,0,1,0,15,30,3.2757496357834537,0.327,999999.0,1.879,0.022,3.489,8.226,6467.322,144,,,,
7292,7292,,Block 2004,0,25,PedestrianZones,2301584.532,145414.6574,10,0,0,0.0,0,0,0,,30836,0,2,410470000000000.0,0,2,Salem,0,47,,0,0,4,1,1,9999,0,80100,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,4,12,0,0,0,0,0,9999,0,0,0,0,4,2004.0,410470000000000.0,1000000US410470006002004,0.0,0.78,80103,0,140,44.9474867,-123.0148238,0,1,8010202004,80082,0,0,839,0.0,0.0,0,,,,0,0,0.11,0.39,0,0,0.0,0.0,0,0,0,0,1,331854.79,2626.85,1,,,102,80102,1,9,40,0,0,0,600,,0,0,1,0,31,77,7.618331004634784,0.132,999999.0,2.025,0.14,4.381,9.866,7610.148,140,,,,
7296,7296,,Block 4007,0,25,PedestrianZones,2300603.743,144025.4947,10,0,0,0.0,0,0,0,,53542,0,4,410470000000000.0,0,2,Salem,0,47,,0,0,4,1,1,9999,0,80116,0,0,0,0,18,0,0,16,0,19,16,0,8,0,0,0,9,0,0,131,0,0,0,0,0,9999,0,0,0,0,4,4007.0,410470000000000.0,1000000US410470009004007,0.0,0.2,80103,0,157,44.934716,-123.0266963,0,3,8011004007,80068,0,0,851,0.0,0.0,0,,,,0,0,1.77,0.44,0,0,0.0,0.0,0,0,0,0,1,576206.19,3016.26,1,,,110,80110,1,110,137,0,0,0,900,,0,0,1,0,44,94,13.227862297007524,0.178,999999.0,26.811,0.446,8.813,12.918,25426.588,157,,,,
7297,7297,,Block 6014,0,25,PedestrianZones,2300815.114,144395.9933,10,0,0,0.0,0,0,0,,14818,0,6,410470000000000.0,0,2,Salem,0,47,,0,1,4,1,1,9999,0,80106,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9999,0,0,0,0,4,6014.0,410470000000000.0,1000000US410470009006014,0.0,0.74,80103,0,144,44.938108,-123.0241663,0,1,8010606014,80068,0,0,852,0.0,0.0,0,,,,0,0,0.19,0.52,0,0,0.0,0.0,0,0,0,0,1,159464.53,1600.14,1,,,106,80106,1,10,38,0,0,0,900,,0,0,1,0,28,56,3.660798559610797,0.136,999999.0,18.75,0.458,9.311,13.835,20854.295,144,,,,
