OMAZ,DMAZ,distance_commute,logsum_commute,path_size_sum_commute,iterations_commute,time_commute
1.0,1.0,0.6350402842598126,-0.6350402829389302,0.0,0.0,0.0020618191047396
3.0,3.0,0.7780227979184977,-0.778022796300212,0.0,0.0,0.0025260480451899
4.0,4.0,1.075056327657563,-1.0750563254214485,0.0,0.0,0.0034904426222648
7109.0,7109.0,0.0576646499550869,-0.0576646498351445,0.0,0.0,0.0001872228894645
7109.0,7144.0,1.0708128010847688,-18.103403047565724,1.2337419286111315,5.0,0.0034766649385869
7109.0,7145.0,0.9068421334634744,-14.394138575221405,1.0,5.0,0.0029442926411151
7109.0,7147.0,0.9170411625531396,-18.97872187528336,1.2732993131118144,5.0,0.0029774063719257
7109.0,7148.0,0.7426429123251628,-15.767562602173072,1.0000000000000002,5.0,0.00241117828677
7109.0,7149.0,0.4283883323847534,-14.281568729124396,1.0,5.0,0.0013908712090414
7109.0,7151.0,0.3450554100704736,-14.666635231674292,1.0,5.0,0.001120309772956
7109.0,7152.0,1.452009592136985,-14.157819508535932,1.7573837204138352,5.0,0.0047143168575876
7109.0,7153.0,1.125822470101068,-16.164573596257764,1.3628819324861117,5.0,0.0036552677600684
7109.0,7154.0,0.9374641250161536,-15.727715141890997,1.0000000000000004,5.0,0.0030437146916108
7109.0,7155.0,0.9069554308686528,-15.1993112959161,1.0000000000000002,5.0,0.0029446604898332
7109.0,7156.0,0.7533131732663706,-14.591439587705594,1.0000000000000002,5.0,0.0024458219911245
7109.0,7157.0,0.8708204780815302,-16.038585693586267,1.8095623538776109,5.0,0.0028273392145504
7109.0,7158.0,0.8358974130101333,-15.974759264799363,1.0,5.0,0.0027139526396432
7109.0,7159.0,1.1000305769961825,-18.26786598488534,1.0000000000000004,5.0,0.0035715278473902
7109.0,7160.0,1.4073136089453209,-14.084078395087705,1.7830985964009731,5.0,0.0045692000290432
7109.0,7161.0,1.0501337337122605,-13.85211501768989,1.822473490981836,5.0,0.0034095251094553
7109.0,7219.0,1.8984024281864065,-13.750870298642337,0.9999999999999996,5.0,0.0061636442473584
7109.0,7282.0,1.8751665991890791,-13.971289947436787,0.9999999999999996,5.0,0.0060882032441203
7109.0,7283.0,1.7172375123474162,-13.538407427588448,1.0805458882098888,5.0,0.0055754464686604
7109.0,7292.0,2.129496637778831,-14.618372966926753,1.8625520493352568,5.0,0.0069139501226585
7109.0,7296.0,1.560999767802639,-12.859677990004046,1.0639108334324348,5.0,0.0050681810642942
7109.0,7297.0,1.372336190908287,-13.065411659525555,0.9999999999999996,5.0,0.0044556369834684
7109.0,7324.0,0.4867816295187109,-13.709341765382092,1.0,5.0,0.0015804598360997
7109.0,7325.0,0.934626353663238,-14.82103781466544,0.9999999999999998,5.0,0.0030345011482572
7109.0,7326.0,0.5281223972681964,-13.606132436495148,1.0,5.0,0.0017146831080136
7109.0,7327.0,0.4286680454614442,-14.274597204052458,1.0,5.0,0.0013917793683813
7109.0,7328.0,0.344851612048063,-14.66663426579617,1.0000000000000002,5.0,0.0011196480910651
7109.0,7329.0,0.5014859037392262,-14.350313082632333,1.0000000000000002,5.0,0.0016282009861663
7109.0,7330.0,0.6760081113712915,-16.650569378082356,1.0,5.0,0.0021948315304262
7109.0,7331.0,1.0078766839628377,-13.460641977491942,1.0,5.0,0.0032723268959832
7109.0,7332.0,0.6272854191106264,-13.44115140328426,1.7533623566646517,5.0,0.0020366409711383
7109.0,7333.0,1.0907853031362935,-14.029035480390398,1.0,5.0,0.0035415107244684
7109.0,7334.0,0.781696393681795,-13.550939985850423,0.9999999999999998,5.0,0.0025379753041616
7109.0,7335.0,0.5180622170251454,-14.88279081514221,1.6036376290226184,5.0,0.0016820201851465
7109.0,7336.0,0.6871847794475185,-14.081296943088809,0.9999999999999998,5.0,0.0022311194137906
7109.0,7337.0,0.2938155250760809,-14.465104948648658,1.0,5.0,0.0009539465099872
7109.0,7338.0,0.2521770239888707,-14.620415548803038,1.0,5.0,0.0008187565713924
7109.0,7339.0,0.2104345401778164,-19.98382904376936,1.0,5.0,0.0006832290265513
7109.0,7340.0,0.3869998782251355,-16.592109206075484,1.821798905333231,5.0,0.0012564931111205
7109.0,7343.0,1.5982526161930457,-13.469662162599564,1.0,5.0,0.0051891318707566
7109.0,7344.0,1.999753178712216,-15.371967912785207,1.2032518914430028,2.0,0.006492705125689
7109.0,7351.0,1.6990920192583618,-14.587651390359344,1.8270428661344216,5.0,0.0055165325300596
7109.0,7352.0,1.725704336563306,-14.86741821209102,1.9293165411831847,5.0,0.005602936157673
7109.0,7353.0,1.6392546855259114,-14.453421754371588,1.81651913885964,5.0,0.0053222554724867
7109.0,7354.0,1.8230655777106592,-14.861386349671903,1.872594109772193,5.0,0.0059190440834761
7109.0,7355.0,1.836774018891528,-14.882443606005134,2.0042207269887022,5.0,0.005963552009388
7109.0,7357.0,1.7646837926066954,-14.761516247784702,1.9022310726277587,5.0,0.0057294928331386
7109.0,7358.0,1.5841732857844608,-14.64408341739599,1.9225851418628963,5.0,0.0051434197590404
7109.0,7391.0,1.9739158392789768,-14.352042098892866,1.289725781802601,5.0,0.0064088176599966
7109.0,7392.0,1.806528749082612,-14.401168953227431,1.5900234144357497,5.0,0.005865353081437
7109.0,7393.0,1.9797257897169336,-14.38006758005732,1.3180988101519908,5.0,0.0064276811354445
7109.0,7394.0,1.7303410749073862,-13.861246351932913,1.2667582336777472,5.0,0.005617990502946
7109.0,7421.0,0.3408225489981317,-18.945997726094955,1.0,5.0,0.0011065667175264
7109.0,7441.0,2.260184204769885,-14.844806367291833,1.1200361528830651,4.0,0.007338260405097
7109.0,7445.0,2.187750151095049,-14.953037397675494,1.0,1.0,0.0071030849061527
7109.0,7447.0,1.1293509315351626,-13.49680453371535,1.0,5.0,0.0036667238036855
7109.0,7448.0,1.4344091099996972,-13.467068331608866,1.2834584597427754,5.0,0.0046571724350639
7109.0,7449.0,1.1835507288382514,-14.48752906948501,1.0,5.0,0.0038426971715527
7109.0,7450.0,1.4704824838343562,-13.32111076376815,1.1920559921198814,5.0,0.0047742937786829
7109.0,7482.0,1.2768831790053472,-13.133848967408646,0.9999999999999998,5.0,0.0041457246071602
7109.0,7489.0,1.0106495448907498,-12.69182800728927,1.0000000000000002,5.0,0.0032813296912037
7109.0,7490.0,1.5064933103633136,-13.33788030429803,1.0,5.0,0.0048912120466341
7109.0,7504.0,1.6475564339960245,-14.466077692809762,1.968099433943548,5.0,0.0053492092012857
7109.0,7505.0,1.7055160373986815,-14.276767437130406,1.0,5.0,0.0055373897318139
7109.0,7506.0,1.8394338180308407,-14.77759582397526,1.864523624843367,5.0,0.0059721877208793
7109.0,7507.0,1.6419810222737634,-14.167177128024498,0.9999999999999998,5.0,0.0053311072151745
7109.0,7508.0,1.3986239234343638,-13.769789878091316,0.9999999999999998,5.0,0.0045409867643972
7109.0,7509.0,1.5464243539669615,-14.029340795467885,1.2861780553861846,5.0,0.0050208582921005
7109.0,7511.0,2.241049229357896,-14.750848471515678,1.0,2.0,0.0072761338615516
7109.0,7536.0,2.176586156164003,-14.635570131940115,1.1868255899004767,5.0,0.0070668381693636
7109.0,7537.0,2.3221226052324067,-14.934962620213264,1.0,1.0,0.0075393591078974
7109.0,7538.0,2.053050514712212,-14.677407247114548,1.8350762305945787,5.0,0.0066657484243902
7109.0,7539.0,2.245925514578176,-14.81100237962832,1.1809746789626616,2.0,0.0072919659564226
7109.0,7540.0,2.103732048399228,-14.49804583711968,1.193294027183177,5.0,0.006830298858439
7109.0,7543.0,1.817742118372517,-14.48062243065174,1.341945700737923,5.0,0.005901760124586
7109.0,7544.0,1.857047360103688,-14.37251822367974,1.9421092448277384,5.0,0.0060293745457911
7109.0,7545.0,1.8680448822459652,-14.054186280410178,1.2176751924920666,5.0,0.0060650807865128
7109.0,7546.0,1.7806568381786572,-14.26333497538915,1.946151253628693,5.0,0.0057813533707099
7109.0,7547.0,1.688874188934569,-14.133793209553394,1.921840376162058,5.0,0.005483357756281
7109.0,7549.0,1.7270084841763196,-13.85563285266864,1.2354467548859465,5.0,0.0056071704031698
7109.0,7550.0,1.8328509023430657,-14.041072712946807,1.221853885032461,5.0,0.0059508146179969
7109.0,7551.0,1.76586050721075,-13.942143611554515,1.2302679380499892,5.0,0.0057333133350998
7109.0,7552.0,1.9761938739764875,-14.448257397928812,2.1138621683093084,5.0,0.006416213876547
7109.0,7555.0,1.9879574629619845,-14.520150045508933,1.306751767586228,5.0,0.0064544073472791
7109.0,7556.0,1.9119278768085024,-14.23677860772826,1.2126804112201974,5.0,0.006207558041586
7109.0,7639.0,2.107676620727408,-15.369102804853023,1.6651862059689335,2.0,0.0068431059114526
7109.0,7640.0,2.1059337551714394,-15.36981177738794,1.6657368325779052,2.0,0.0068374472570501
7109.0,7641.0,2.0339735180351357,-15.25193522260044,1.689562785376458,2.0,0.0066038101234906
7109.0,7645.0,1.982860574125448,-15.04712095892619,1.7051571047378364,3.0,0.0064378590069008
7109.0,7646.0,1.946402057797712,-15.292938462386893,1.8972094335729568,3.0,0.0063194872006419
7109.0,7648.0,2.168318880806554,-15.127553617411872,1.0,1.0,0.007039996366255
7109.0,7649.0,2.0313360383034875,-15.239520155846687,1.6904850444781978,2.0,0.0065952468776087
7109.0,7650.0,1.903556846546202,-14.983754540414855,1.8349333022955503,5.0,0.0061803793719032
7109.0,7651.0,1.9095218780004315,-14.895010453076289,1.832123501577242,5.0,0.0061997463571442
7109.0,7652.0,1.795777166659306,-15.164003852606283,1.8867909587670888,5.0,0.0058304453462964
7109.0,7653.0,1.6372470095866931,-14.492353745673975,1.8592774886540977,5.0,0.0053157370441126
7109.0,7655.0,1.7678722126142188,-14.405821119732163,0.9999999999999998,5.0,0.00573984484615
