body_type,fuel_type,vehicle_year,MPG,NewPrice,NumMakes,NumModels,Range,auto_operating_cost,co2gpm
Car,BEV,2011,93.8,44331.89559,3,4,73,0.108682942,0
Car,BEV,2012,95.6,54291.33743,5,5,113,0.108080753,0
Car,BEV,2013,104.3,59928.48966,9,12,105,0.105463183,0
Car,BEV,2014,106.1,50547.30465,10,13,115,0.104975212,0
Car,BEV,2015,103.2,63109.22167,10,18,157,0.105769767,0
Car,BEV,2016,103.1,74787.61065,11,25,173,0.105797963,0
Car,BEV,2017,108.7,65091.20275,13,23,169,0.104298896,0
Car,BEV,2018,115.0309858,65202.70828,13.92307692,44.30769231,145.6393987,0.103654628,
Car,BEV,2019,116.7564506,65202.70828,14.84615385,65.61538462,147.8239897,0.103029221,
Car,BEV,2020,118.5077974,65202.70828,15.76923077,86.92307692,150.0413495,0.102403815,
Car,BEV,2021,120.2854144,65202.70828,16.69230769,108.2307692,152.2919698,0.101778408,
Car,BEV,2022,122.0896956,65202.70828,17.61538462,129.5384615,154.5763493,0.101153002,
Car,BEV,2023,123.921041,65202.70828,18.53846154,150.8461538,156.8949946,0.100527595,
Car,BEV,2024,125.7798566,65202.70828,19.46153846,172.1538462,159.2484195,0.099902189,
Car,BEV,2025,127.6665545,65202.70828,20.38461538,193.4615385,161.6371458,0.099276782,
Car,BEV,2026,129.5815528,65202.70828,21.30769231,214.7692308,164.0617029,0.098651376,
Car,BEV,2027,131.5252761,65202.70828,22.23076923,236.0769231,166.5226285,0.098025969,
Car,BEV,2028,133.4981552,65202.70828,23.15384615,257.3846154,169.0204679,0.097400563,
Car,BEV,2029,135.5006275,65202.70828,24.07692308,278.6923077,171.5557749,0.096775156,
Car,BEV,2030,137.533137,65202.70828,25,300,174.1291116,0.09614975,
Car,BEV,2031,139.596134,65202.70828,25.25,297.5,176.7410482,0.095524343,
Car,BEV,2032,141.690076,65202.70828,25.5,295,179.392164,0.094898936,
Car,BEV,2033,143.8154272,65202.70828,25.75,292.5,182.0830464,0.09427353,
Car,BEV,2034,145.9726586,65202.70828,26,290,184.8142921,0.093648123,
Car,BEV,2035,148.1622484,65202.70828,26.25,287.5,187.5865065,0.093022717,
Car,BEV,2036,150.3846822,65202.70828,26.5,285,190.4003041,0.09239731,
Car,BEV,2037,152.6404524,65202.70828,26.75,282.5,193.2563087,0.091771904,
Car,BEV,2038,154.9300592,65202.70828,27,280,196.1551533,0.091146497,
Car,BEV,2039,157.2540101,65202.70828,27.25,277.5,199.0974806,0.090521091,
Car,BEV,2040,159.6128202,65202.70828,27.5,275,202.0839428,0.089895684,
Car,BEV,2041,162.0070125,65202.70828,27.75,272.5,205.1152019,0.089270278,
Car,BEV,2042,164.4371177,65202.70828,28,270,208.19193,0.088644871,
